CAS	InChIKey	Pubchem_CID	CanonicalSMILES
103-90-2	RZVAJINKPMORJF-UHFFFAOYSA-N	1983	CC(=O)NC1=CC=C(C=C1)O
104040-78-0	HWATZEJQIXKWQS-UHFFFAOYSA-N	93539	COC1=CC(=NC(=N1)NC(=O)NS(=O)(=O)C2=C(C=CC=N2)C(F)(F)F)OC
104098-48-8	PVSGXWMWNRGTKE-UHFFFAOYSA-N	91770	CC1=CN=C(C(=C1)C(=O)O)C2=NC(C(=O)N2)(C)C(C)C
104-12-1	ADAKRBAJFHTIEW-UHFFFAOYSA-N	7693	C1=CC(=CC=C1N=C=O)Cl
104-15-4	JOXIMZWYDAKGHI-UHFFFAOYSA-N	6101	CC1=CC=C(C=C1)S(=O)(=O)O
104206-82-8	KPUREKXXPHOJQT-UHFFFAOYSA-N	175967	CS(=O)(=O)C1=CC(=C(C=C1)C(=O)C2C(=O)CCCC2=O)[N+](=O)[O-]
10421-48-4	VCJMYUPGQJHHFU-UHFFFAOYSA-N	25251	[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Fe+3]
104-51-8	OCKPCBLVNKHBMX-UHFFFAOYSA-N	7705	CCCCC1=CC=CC=C1
10453-86-8	VEMKTZHHVJILDY-UHFFFAOYSA-N	5053	CC(=CC1C(C1(C)C)C(=O)OCC2=COC(=C2)CC3=CC=CC=C3)C
104-55-2	KJPRLNWUNMBNBZ-UHFFFAOYSA-N	307	C1=CC=C(C=C1)C=CC=O
104-61-0	OALYTRUKMRCXNH-UHFFFAOYSA-N	7710	CCCCCC1CCC(=O)O1
104632-26-0	FASDKYOPVNHBLU-UHFFFAOYSA-N	4885	CCCNC1CCC2=C(C1)SC(=N2)N
104653-34-1	VSVAQRUUFVBBFS-UHFFFAOYSA-N	91771	C1C(CC2=CC=CC=C2C1C3=C(SC4=CC=CC=C4C3=O)O)C5=CC=C(C=C5)C6=CC=C(C=C6)Br
104-76-7	YIWUKEYIRIRTPP-UHFFFAOYSA-N	7720	CCCCC(CC)CO
104-87-0	FXLOVSHXALFLKQ-UHFFFAOYSA-N	7725	CC1=CC=C(C=C1)C=O
104-90-5	NTSLROIKFLNUIJ-UHFFFAOYSA-N	7728	CCC1=CN=C(C=C1)C
104-94-9	BHAAPTBBJKJZER-UHFFFAOYSA-N	7732	COC1=CC=C(C=C1)N
