ChemIndex	InChIKey	CASRN	CanonicalSMILES
40	GDAYFNYXYZQOQL-UHFFFAOYSA-M	None	[I-].CS\C(=C/c1ccc2ccccc2[n+]1C)\N3CCCCC3
41	BNNWDNLKWWUYOG-UHFFFAOYSA-N	None	Cl.Clc1ccc(CNC2CC3CC4CC(C3)C2C4)cc1
42	VHGCBDMLWAGBAP-DGCLKSJQSA-N	None	C1CO[C@H]2[C@@H](Cc3c[nH]c4cccc2c34)N1
43	XNCDYJFPRPDERF-PBCQUBLHSA-N	None	Cl.CCN(CC)C(=O)[C@@]1(C[C@@H]1CN)c2ccccc2
44	ANJTVLIZGCUXLD-DTWKUNHWSA-N	485-35-8	C1C2CNCC1C3=CC=CC(=O)N3C2
45	JSZOAYXJRCEYSX-UHFFFAOYSA-N	108-03-2	CCC[N+](=O)[O-]
46	HTKFSFGQUWGCRB-UHFFFAOYSA-N	None	Cl.CCN(CC)CC(=O)NC(c1ccccc1)c2ccccc2
47	PCZOHLXUXFIOCF-BXMDZJJMSA-N	None	CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12
48	WOYUZQVWDISJCF-UHFFFAOYSA-N	None	CN(C)c1cc(Cl)nc(n1)N(C)C
49	OVHOEBNLTNVRDO-KPJFUTMLSA-M	None	CCN1\C(=C\c2scc(C)[n+]2CC)\S\C(=C/3\Sc4ccccc4N3C)\C1=O.CC(=O)[O-]
50	LRGQQOCGOGYEGN-MEFGMAGPSA-N	None	Clc1ccc(NC(=S)\N=C\2/SN=C(Nc3ccc(Cl)cc3)N2c4ccc(Cl)cc4)cc1
51	VYLIHXCXXMSMOH-CAOOACKPSA-N	None	O=C1CN(\N=C\c2oc(cc2)c3ccc(cc3)C#N)C(=O)N1
52	MSDJXHROWFTINH-UHFFFAOYSA-N	None	CN(C(=O)c1ccccc1OC(=O)C)c2ccc(Sc3ccccc3)cc2
53	LNUGFLAFCOXHNN-ONNLMXTPSA-N	None	CCCC(=O)CC\C=C\C=C\C#CC#CCCCO
54	VEMKTZHHVJILDY-UHFFFAOYSA-N	10453-86-8	CC(=CC1C(C1(C)C)C(=O)OCC2=COC(=C2)CC3=CC=CC=C3)C
55	SCQHZIIYUMJRRK-UHFFFAOYSA-N	None	O.CC(=O)N(\C(=N/C#N)\Nc1cccnc1)C(C)(C)C
56	OEZLBYGFUZUHJL-UHFFFAOYSA-N	None	CC(C)Cc1cc(N\C(=N\C(C)(C)C)\Nc2nccs2)c3ccccc3n1
57	OYOXOXRXCBWCND-UHFFFAOYSA-N	None	Cl.COc1ccc(Cl)c2cc(CNC3CCCCC3)ccc12
58	GHTOJJBGIFZDAT-UHFFFAOYSA-N	None	NNc1nncc(n1)c2cccc(Cl)c2
59	LKNPFABCVVXCCC-UHFFFAOYSA-N	None	CNC(=O)Nc1c(OCCCN2CCCCC2)c(OC)c3occc3c1OC
60	KPPUYCQSSNJGRN-NTCAYCPXSA-N	None	CN1CCC/C/1=N\C(=O)Nc2cccc(C)c2
61	WFWLQNSHRPWKFK-UHFFFAOYSA-N	None	FC1=CN(C2CCCO2)C(=O)NC1=O
62	ALKYHXVLJMQRLQ-UHFFFAOYSA-N	92-70-6	C1=CC=C2C=C(C(=CC2=C1)C(=O)O)O
63	RISLXYINQFKFRL-UHFFFAOYSA-N	2917-73-9	CCCCOC(=O)CCCCCCCC(=O)OCCCC
64	ZMGIOYIMUHRSNR-UHFFFAOYSA-N	None	COc1c2CCCc2c3CN(CC(c4ccccc4)c5ccccc5)CCc3c1OC
65	GYKXQTKSWLAUIT-UHFFFAOYSA-N	64-00-6	CC(C)C1=CC(=CC=C1)OC(=O)NC
66	VTMGLOBDVHRQIR-UHFFFAOYSA-N	None	OC1(Cc2ccccc2C3=NCCN13)c4ccc5OCOc5c4
67	SAOMAJNUHXWGKX-UHFFFAOYSA-M	None	[Cl-].CCCCCCCCCCCCc1c2c(OC)c(OC)ccc2cc3c4cc5OCOc5cc4CC[n+]13
68	APVSTFZRQYVDGA-GBESFXJTSA-N	None	Cc1ccc(cc1)[C@@H]2[C@@H]3CCCN[C@@H]3c4ccccc24
69	ZWROEXSBSIUEIM-UHFFFAOYSA-N	None	CCNc1c(C#N)c(Cl)c(C#N)c(NCC)c1C#N
70	JRPLEARVGIUFIY-UHFFFAOYSA-N	None	C1CN(CCO1)c2nc3cc(nnc3c4ccccc24)c5ccccc5
71	JJLKTTCRRLHVGL-UHFFFAOYSA-L	1067-33-0	CCCC[Sn+2]CCCC.CC(=O)[O-].CC(=O)[O-]
72	NPPXEXPOHVWMNN-UHFFFAOYSA-N	None	CCC(C)(C)N\C(=N/C=O)\Nc1cccnc1
73	WEARSWIDVWIMAT-FYJGNVAPSA-N	None	CCN1C\C(=C/c2ccc(C)cc2)\c3nc4N=C5SCC(=O)N5C(=O)c4c(c3C1)c6ccc(C)cc6
74	PEQRELJLFUYNKV-UHFFFAOYSA-N	None	Cl.CN1CCN(CC2(O)CC3CC4CC(C3)C2C4)CC1
75	MLKCGVHIFJBRCD-UHFFFAOYSA-N	128639-02-1	CCOC(=O)C(CC1=CC(=C(C=C1Cl)F)N2C(=O)N(C(=N2)C)C(F)F)Cl
76	GTRACVMHUGGMSH-FNORWQNLSA-N	None	C\C(=C/c1cccc(c1)C(F)(F)F)\C(=O)N
