C0158266 C0011334 C0014175 C0002736 C0036421 C0392525 C0030319 C0001175 C2239176 C0079731 C0027819 C0022661 C0031099 C0002171 C0023343 C0023434 C1263846 C0014859 C0017668 C0014170 C0020676 C0011573 C0017601 C0014544 C0025202 C0004153 C0019163 C0002871 C0026769 C0004096 C0017661 C0024117 C0011615 C0005586 C0525045 C1956346 C1458155 C0684249 C0040136 C0919267 C0005695 C0007134 C2607914 C0030297 C0027022 C0030305 C0029401 C0036341 C0038356 C0027051 C0149931 C0007820 C0038013 C0003873 C0162871 C0029408 C0023473 C0019829 C0009324 C0010346 C0033860 C0027404 C0003872 C0024141 C0004763 C0008924 C0011860 C0026764 C0011854 C0034951 C1961102 C0028754 C0033578 C0007570 C0002395 C0020538 C0242383 C0007766 C0017665 C0040517 C0029456 C0016781 C0032460 C0085207 C0154778 C0022336 C0029899 C0023892 C0042900 C0018213 C0024530 C0004352 C0007193 C0149654 C0003868 C0023267 C0004943 C0026691 C0206368 C0162872 C0524620 C0004509 C0008313 C0030567 C1800706 C0035258 C0031347 C0028043 
C0027022 0.4564 0.7067 0.6016 0.5615 0.6859 0.6029 0.3149 0.6599 0.7497 0.8875 0.8013 0.6303 0.5967 0.5639 0.4874 0.9084 0.5489 0.7289 0.6296 0.7366 0.6557 0.2691 0.6537 0.5542 0.8144 0.7743 0.6346 0.8792 0.6216 0.7854 0.6267 0.6160 0.5290 0.3403 0.3064 0.7590 0.6793 0.7012 0.7025 0.7319 0.6802 0.7531 0.5795 0.7370 1.0000 0.7124 0.6492 0.3665 0.6779 0.7639 0.5634 0.7235 0.7675 0.7649 0.6239 0.6634 0.9108 0.8462 0.6782 0.6837 0.6921 0.4490 0.6724 0.6727 0.7192 0.4436 0.6227 0.8884 0.7285 0.5371 0.7908 0.6573 0.7195 0.6971 0.5697 0.7819 0.6349 0.6055 0.6100 0.6496 0.6638 0.6929 0.6993 0.6422 0.3067 0.5323 0.5054 0.5647 0.6134 0.5490 0.7791 0.2849 0.5742 0.3057 0.6509 0.7553 0.7969 0.8168 0.4080 0.6092 0.7737 0.4697 0.4134 0.5932 0.6222 0.5851 0.6760 0.2970 
C0030305 0.6384 0.8641 0.8216 0.8014 0.8653 0.7653 0.6102 0.8516 0.7931 0.8056 0.8631 0.8100 0.8669 0.8167 0.7748 0.8803 0.8252 0.7772 0.8410 0.7379 0.8450 0.5053 0.8833 0.7681 0.8351 0.7798 0.9453 0.8033 0.8471 0.9147 0.8814 0.8789 0.7974 0.6314 0.5928 0.8080 0.7126 0.7259 0.7438 0.7436 0.6676 0.7141 0.7338 0.7776 0.7124 1.0000 0.7396 0.6542 0.7917 0.7882 0.7903 0.7640 0.8779 0.8839 0.6742 0.8815 0.8618 0.8621 0.9845 0.9779 0.8930 0.6150 0.8669 0.8797 0.9347 0.6825 0.8097 0.8516 0.8844 0.7295 0.7038 0.8414 0.7304 0.9726 0.8521 0.8235 0.8768 0.6752 0.8688 0.8923 0.8698 0.8503 0.9079 0.8488 0.4510 0.7893 0.5919 0.8311 0.8667 0.8268 0.8717 0.5484 0.7622 0.5543 0.7576 0.6802 0.8920 0.8902 0.6199 0.7100 0.8641 0.6197 0.6294 0.8564 0.8389 0.8066 0.6818 0.5199 
C0029401 0.8653 0.7841 0.7099 0.7299 0.7176 0.5054 0.5545 0.7020 0.5409 0.6884 0.7096 0.5984 0.7600 0.7419 0.7378 0.6984 0.7493 0.5688 0.6332 0.5603 0.6761 0.4676 0.7549 0.6860 0.6593 0.5939 0.7740 0.6449 0.8340 0.7672 0.7355 0.7224 0.6883 0.5713 0.5523 0.6245 0.5549 0.4978 0.5625 0.5501 0.4898 0.4829 0.6126 0.5658 0.6492 0.7396 1.0000 0.5977 0.5604 0.5963 0.7157 0.6082 0.8957 0.8732 0.4426 0.9078 0.6811 0.7176 0.7406 0.7364 0.7581 0.5340 0.9212 0.7662 0.7608 0.5796 0.6353 0.7080 0.7392 0.6501 0.5725 0.7439 0.5762 0.7738 0.7664 0.6393 0.7558 0.4479 0.6995 0.7769 0.9006 0.7154 0.7512 0.6849 0.4305 0.7278 0.6915 0.5480 0.7548 0.7535 0.7043 0.5094 0.5740 0.5296 0.6191 0.5627 0.7175 0.7197 0.5344 0.4836 0.6830 0.5674 0.3789 0.7773 0.6622 0.7287 0.5293 0.4879 
C0036341 0.5563 0.7239 0.7112 0.7812 0.5777 0.3811 0.9623 0.7223 0.4950 0.5430 0.6553 0.4772 0.6455 0.6089 0.6553 0.5252 0.8784 0.5031 0.5275 0.5349 0.6239 0.8473 0.7343 0.7696 0.5722 0.4107 0.6944 0.4419 0.7776 0.6447 0.6106 0.6170 0.6507 0.9679 0.9602 0.4538 0.5665 0.4684 0.5500 0.5264 0.4318 0.4089 0.5878 0.5192 0.3665 0.6542 0.5977 1.0000 0.5117 0.4294 0.7718 0.5363 0.6773 0.6860 0.3338 0.7150 0.4946 0.5962 0.6404 0.6245 0.6647 0.6617 0.6927 0.7021 0.7351 0.7597 0.5926 0.5714 0.6438 0.6554 0.4998 0.6638 0.5563 0.6455 0.8471 0.4924 0.7251 0.3806 0.6129 0.8074 0.7257 0.6717 0.7091 0.6323 0.3657 0.7958 0.5126 0.4679 0.6547 0.6425 0.5505 0.9253 0.4267 0.9146 0.5119 0.4349 0.5765 0.5648 0.5571 0.3742 0.5384 0.6218 0.3035 0.7891 0.5253 0.7793 0.4311 0.6451 
C0038356 0.4530 0.7569 0.6946 0.6361 0.7026 0.5462 0.4591 0.7383 0.8566 0.7895 0.8711 0.5799 0.6200 0.6794 0.6164 0.7563 0.6282 0.9638 0.6678 0.9172 0.6753 0.3764 0.6545 0.6324 0.8967 0.5460 0.7213 0.6354 0.6762 0.7376 0.6573 0.5923 0.6584 0.4814 0.4387 0.5664 0.8958 0.7928 0.8714 0.9412 0.9115 0.8303 0.5751 0.9538 0.6779 0.7917 0.5604 0.5117 0.9999 0.5596 0.6248 0.5725 0.6989 0.7369 0.4615 0.6443 0.7368 0.8542 0.7860 0.7902 0.7875 0.5019 0.6802 0.7266 0.7844 0.6370 0.6122 0.8445 0.6795 0.6106 0.7972 0.6372 0.8940 0.7421 0.6421 0.6079 0.6286 0.4760 0.6352 0.6977 0.6497 0.8142 0.7572 0.6494 0.3864 0.6170 0.4893 0.6240 0.7094 0.6206 0.6263 0.4050 0.5367 0.4127 0.6552 0.8014 0.6706 0.6734 0.4641 0.4703 0.6300 0.5454 0.4606 0.6444 0.6052 0.6476 0.8683 0.3839 
C0027051 0.4672 0.6752 0.6573 0.6263 0.7895 0.8288 0.3959 0.6912 0.6237 0.6778 0.6855 0.8307 0.7466 0.5997 0.6014 0.9097 0.6322 0.5714 0.7798 0.5361 0.7740 0.3226 0.8279 0.5973 0.6470 0.9971 0.7347 0.9689 0.6625 0.8206 0.7339 0.8349 0.5482 0.4087 0.3757 0.9961 0.5195 0.5720 0.5422 0.5476 0.4922 0.5774 0.5760 0.5627 0.7639 0.7882 0.5963 0.4294 0.5596 1.0000 0.6278 0.8901 0.7363 0.7338 0.8764 0.7730 0.9196 0.6942 0.7653 0.7564 0.6770 0.4876 0.6754 0.7132 0.8071 0.4636 0.7080 0.7269 0.7715 0.5513 0.5976 0.7472 0.5462 0.8001 0.6950 0.9893 0.8175 0.8908 0.7492 0.7592 0.7568 0.6997 0.7724 0.7413 0.3635 0.6012 0.4836 0.7436 0.6490 0.6378 0.9646 0.3466 0.8834 0.3480 0.6992 0.5599 0.9608 0.9589 0.4218 0.9115 0.9599 0.5174 0.5080 0.7144 0.7669 0.6374 0.5380 0.3905 
C0149931 0.7059 0.7751 0.7420 0.9932 0.7509 0.5331 0.7217 0.7451 0.6172 0.6668 0.8423 0.6150 0.7742 0.7292 0.7433 0.7160 0.9510 0.6394 0.6634 0.6325 0.6911 0.6791 0.8468 0.9879 0.7062 0.6211 0.8159 0.6446 0.9669 0.7816 0.7332 0.7742 0.6888 0.7645 0.7435 0.6520 0.6065 0.5813 0.6240 0.6080 0.5424 0.5365 0.6434 0.6266 0.5634 0.7903 0.7157 0.7718 0.6248 0.6278 1.0000 0.8180 0.8004 0.7939 0.4821 0.8353 0.6966 0.7338 0.7697 0.7611 0.7599 0.8523 0.8007 0.7972 0.8056 0.6524 0.6487 0.7069 0.7381 0.7383 0.5657 0.7251 0.6148 0.7805 0.9599 0.6795 0.8282 0.6462 0.7060 0.9504 0.8125 0.7717 0.7815 0.7064 0.4036 0.9874 0.6038 0.6220 0.7610 0.7452 0.7378 0.7091 0.6246 0.6889 0.6214 0.6148 0.7510 0.7417 0.5876 0.5319 0.7050 0.5889 0.4485 0.9697 0.7069 0.9931 0.6032 0.5773 
C0007820 0.5236 0.6815 0.6555 0.8071 0.7872 0.7092 0.4839 0.6920 0.5882 0.6661 0.7555 0.7358 0.7420 0.5998 0.6188 0.8537 0.7615 0.5794 0.6983 0.5473 0.7544 0.4755 0.8330 0.8150 0.6570 0.8922 0.7267 0.8925 0.8008 0.7836 0.6922 0.7904 0.5622 0.5222 0.4904 0.8892 0.5425 0.5532 0.5452 0.5524 0.4990 0.5311 0.5627 0.5712 0.7235 0.7640 0.6082 0.5363 0.5725 0.8901 0.8180 1.0000 0.7339 0.7260 0.7563 0.7686 0.8591 0.6980 0.7431 0.7337 0.6751 0.6881 0.6817 0.7389 0.7996 0.5077 0.6911 0.7184 0.7555 0.6141 0.5977 0.7481 0.5583 0.7879 0.8065 0.9115 0.8137 0.8949 0.6976 0.8459 0.7500 0.7137 0.7645 0.7280 0.4167 0.7861 0.5574 0.7054 0.6609 0.6409 0.8933 0.4560 0.7431 0.4474 0.6693 0.5730 0.9003 0.8936 0.4544 0.7917 0.8948 0.5393 0.4840 0.8297 0.7270 0.8074 0.5601 0.4781 
C0038013 0.7576 0.8918 0.8324 0.8149 0.8389 0.6184 0.6371 0.8666 0.7006 0.8549 0.8573 0.7154 0.8275 0.8336 0.8242 0.8717 0.8478 0.7180 0.7620 0.7261 0.8010 0.4960 0.8626 0.7739 0.8218 0.7331 0.9082 0.7922 0.9013 0.9327 0.8832 0.8204 0.8269 0.6539 0.6226 0.7626 0.6937 0.6374 0.7159 0.7103 0.6390 0.6510 0.8060 0.7226 0.7675 0.8779 0.8957 0.6773 0.6989 0.7363 0.8004 0.7339 1.0000 0.9900 0.5685 0.9498 0.8382 0.8908 0.8732 0.8655 0.9023 0.6084 0.9705 0.9136 0.8950 0.6388 0.7590 0.8783 0.8945 0.7453 0.7073 0.8199 0.7226 0.8900 0.8571 0.7815 0.8624 0.5673 0.8537 0.8876 0.9264 0.8244 0.8876 0.8161 0.4379 0.8078 0.6572 0.6507 0.8712 0.8860 0.8555 0.5755 0.6736 0.5847 0.7577 0.7012 0.8680 0.8803 0.5938 0.6021 0.8198 0.6525 0.4646 0.8678 0.7807 0.8235 0.6618 0.5497 
C0003873 0.7404 0.9001 0.8302 0.8100 0.8501 0.6366 0.6346 0.8939 0.7442 0.8671 0.8681 0.7296 0.8324 0.8357 0.8217 0.8733 0.8380 0.7508 0.7859 0.7568 0.8078 0.5014 0.8625 0.7746 0.8413 0.7258 0.9045 0.7879 0.8980 0.9465 0.8949 0.8191 0.8384 0.6522 0.6143 0.7563 0.7449 0.6847 0.7532 0.7561 0.6854 0.6967 0.8100 0.7646 0.7649 0.8839 0.8732 0.6860 0.7369 0.7338 0.7939 0.7260 0.9900 1.0000 0.5710 0.9424 0.8373 0.8987 0.8815 0.8725 0.9268 0.6176 0.9694 0.9351 0.9097 0.6579 0.7598 0.8947 0.8914 0.7493 0.7489 0.8259 0.7683 0.8897 0.8519 0.7810 0.8598 0.5651 0.8694 0.8889 0.9130 0.8449 0.8897 0.8096 0.4574 0.8005 0.6521 0.6764 0.8687 0.8927 0.8479 0.5650 0.6760 0.5766 0.7945 0.7097 0.8642 0.8765 0.6128 0.6012 0.8169 0.6599 0.4821 0.8597 0.7950 0.8169 0.6826 0.5779 
C0162871 0.3029 0.5411 0.5112 0.4768 0.6709 0.7318 0.3170 0.5655 0.5260 0.5428 0.5331 0.7150 0.6371 0.4609 0.4454 0.7637 0.4815 0.4644 0.6683 0.4147 0.6267 0.2603 0.6932 0.4575 0.5120 0.8718 0.5891 0.8234 0.5046 0.6761 0.6021 0.7193 0.4357 0.3199 0.2889 0.8657 0.4082 0.4802 0.4294 0.4363 0.4029 0.4884 0.4480 0.4505 0.6239 0.6742 0.4426 0.3338 0.4615 0.8764 0.4821 0.7563 0.5685 0.5710 1.0000 0.6161 0.7720 0.5414 0.6546 0.6464 0.5409 0.3844 0.5330 0.5723 0.6735 0.3748 0.5593 0.5760 0.6065 0.4298 0.4775 0.6074 0.4289 0.6700 0.5476 0.8504 0.6762 0.8627 0.6244 0.6086 0.6035 0.5621 0.6206 0.5866 0.3000 0.4518 0.3797 0.6502 0.5065 0.4877 0.8132 0.2657 0.7924 0.2677 0.5681 0.4228 0.8147 0.8124 0.3495 0.9516 0.8147 0.3860 0.4644 0.5584 0.6644 0.4843 0.4300 0.2779 
C0029408 0.8043 0.8731 0.8460 0.8456 0.8399 0.6696 0.6795 0.8281 0.6376 0.7353 0.8028 0.7573 0.8735 0.8198 0.8267 0.8272 0.8837 0.6470 0.7740 0.6349 0.8194 0.5396 0.9272 0.8041 0.7374 0.7641 0.9077 0.7804 0.9184 0.8929 0.8556 0.8835 0.7768 0.6972 0.6698 0.8030 0.6304 0.5812 0.6378 0.6347 0.5529 0.5659 0.7185 0.6436 0.6634 0.8815 0.9078 0.7150 0.6443 0.7730 0.8353 0.7686 0.9498 0.9424 0.6161 1.0000 0.8029 0.7949 0.8720 0.8608 0.8598 0.6389 0.9555 0.8810 0.9000 0.6520 0.7706 0.7819 0.8666 0.7524 0.6364 0.8503 0.6514 0.8980 0.9057 0.8153 0.9287 0.6378 0.8377 0.9185 0.9727 0.8122 0.8931 0.8311 0.4721 0.8393 0.6654 0.7023 0.8529 0.8503 0.8722 0.6238 0.7468 0.6168 0.7679 0.6084 0.8805 0.8774 0.6389 0.6674 0.8472 0.6778 0.4787 0.9120 0.7878 0.8469 0.5852 0.6112 
C0023473 0.5142 0.7900 0.7496 0.6989 0.8186 0.7622 0.4459 0.7674 0.7873 0.8585 0.8749 0.7977 0.7500 0.6882 0.6473 0.9955 0.7010 0.7706 0.7836 0.7542 0.8026 0.3718 0.8328 0.6735 0.8629 0.9238 0.7981 0.9656 0.7419 0.8902 0.7697 0.8191 0.6410 0.4687 0.4328 0.9223 0.7046 0.7383 0.7239 0.7340 0.6777 0.7485 0.6539 0.7548 0.9108 0.8618 0.6811 0.4946 0.7368 0.9196 0.6966 0.8591 0.8382 0.8373 0.7720 0.8029 1.0000 0.8943 0.8346 0.8379 0.7869 0.5416 0.7584 0.7857 0.8645 0.5585 0.7464 0.9120 0.8378 0.6471 0.7550 0.7756 0.7376 0.8600 0.7410 0.9363 0.8181 0.7753 0.7693 0.8078 0.8043 0.8164 0.8494 0.7922 0.3715 0.6720 0.5354 0.7169 0.7463 0.6831 0.9367 0.3954 0.7793 0.4096 0.7376 0.7397 0.9512 0.9567 0.5235 0.7931 0.9291 0.5841 0.5120 0.7584 0.7639 0.7160 0.7209 0.4231 
C0019829 0.5686 0.8680 0.8017 0.7475 0.7852 0.6006 0.5441 0.8361 0.8609 0.9424 0.9655 0.6688 0.6987 0.7478 0.7060 0.9160 0.7573 0.8868 0.7362 0.8990 0.7551 0.4433 0.7827 0.7254 0.9754 0.6932 0.8333 0.7860 0.7982 0.8907 0.7933 0.7343 0.7389 0.5682 0.5296 0.7100 0.8578 0.8142 0.8520 0.8771 0.8252 0.8434 0.7143 0.8866 0.8462 0.8621 0.7176 0.5962 0.8542 0.6942 0.7338 0.6980 0.8908 0.8987 0.5414 0.7949 0.8943 1.0000 0.8510 0.8598 0.8782 0.5783 0.8227 0.8372 0.8624 0.6423 0.7099 0.9828 0.8324 0.7227 0.8143 0.7398 0.8892 0.8481 0.7680 0.7407 0.7688 0.5401 0.7617 0.8204 0.8015 0.8721 0.8591 0.7693 0.4066 0.7315 0.5753 0.6345 0.8158 0.7525 0.7879 0.4877 0.6035 0.5031 0.7072 0.8150 0.8200 0.8333 0.5626 0.5556 0.7676 0.6176 0.4459 0.7784 0.7229 0.7629 0.8223 0.4826 
C0009324 0.6399 0.8673 0.8086 0.7831 0.8634 0.7519 0.5922 0.8497 0.7720 0.7849 0.8424 0.8056 0.8422 0.8161 0.7829 0.8577 0.8016 0.7672 0.8417 0.7149 0.8181 0.4902 0.8642 0.7478 0.8238 0.7565 0.9439 0.7770 0.8367 0.9117 0.8956 0.8688 0.8128 0.6093 0.5728 0.7849 0.7042 0.7226 0.7268 0.7276 0.6613 0.7035 0.7366 0.7591 0.6782 0.9845 0.7406 0.6404 0.7860 0.7653 0.7697 0.7431 0.8732 0.8815 0.6546 0.8720 0.8346 0.8510 1.0000 0.9926 0.9029 0.6001 0.8741 0.8826 0.9243 0.6824 0.7705 0.8348 0.8563 0.7279 0.6678 0.8126 0.7203 0.9738 0.8344 0.8029 0.8601 0.6541 0.8725 0.8758 0.8565 0.8518 0.8865 0.8179 0.4189 0.7740 0.5915 0.8259 0.8747 0.8453 0.8528 0.5268 0.7517 0.5363 0.7405 0.6598 0.8771 0.8736 0.5876 0.6937 0.8367 0.6023 0.6188 0.8392 0.8477 0.7860 0.6771 0.5114 
C0010346 0.6279 0.8695 0.8041 0.7760 0.8531 0.7420 0.5745 0.8408 0.7817 0.7975 0.8518 0.7974 0.8194 0.8044 0.7874 0.8597 0.7900 0.7773 0.8393 0.7243 0.8001 0.4763 0.8498 0.7357 0.8360 0.7509 0.9386 0.7743 0.8253 0.9018 0.8876 0.8639 0.7964 0.5918 0.5594 0.7780 0.7130 0.7400 0.7300 0.7329 0.6715 0.7188 0.7159 0.7681 0.6837 0.9779 0.7364 0.6245 0.7902 0.7564 0.7611 0.7337 0.8655 0.8725 0.6464 0.8608 0.8379 0.8598 0.9926 1.0000 0.8941 0.5852 0.8621 0.8695 0.9156 0.6807 0.7565 0.8434 0.8435 0.7246 0.6728 0.8016 0.7299 0.9742 0.8272 0.7912 0.8504 0.6436 0.8601 0.8682 0.8473 0.8606 0.8788 0.8085 0.4183 0.7685 0.5948 0.8158 0.8690 0.8312 0.8459 0.5120 0.7423 0.5305 0.7267 0.6574 0.8711 0.8664 0.5767 0.6823 0.8270 0.5906 0.6108 0.8316 0.8384 0.7769 0.6995 0.4947 
C0033860 0.6571 0.8937 0.7943 0.7792 0.8968 0.6420 0.5976 0.8949 0.7915 0.8370 0.8531 0.7188 0.8114 0.8856 0.8210 0.8262 0.7900 0.7818 0.7958 0.7659 0.7683 0.4878 0.8190 0.7436 0.8624 0.6649 0.9041 0.7191 0.8447 0.9178 0.8965 0.8024 0.9144 0.6199 0.5790 0.6980 0.7809 0.7511 0.7777 0.8031 0.7322 0.7394 0.7758 0.7986 0.6921 0.8930 0.7581 0.6647 0.7875 0.6770 0.7599 0.6751 0.9023 0.9268 0.5409 0.8598 0.7869 0.8782 0.9029 0.8941 1.0000 0.6007 0.9146 0.9527 0.9009 0.6925 0.7138 0.8704 0.8296 0.7345 0.7443 0.7710 0.7962 0.8761 0.8195 0.7234 0.8179 0.5369 0.8577 0.8593 0.8322 0.8596 0.8544 0.7588 0.4599 0.7709 0.5904 0.7147 0.9493 0.8723 0.7945 0.5392 0.6603 0.5582 0.7590 0.6724 0.8289 0.8337 0.6201 0.5655 0.7592 0.6180 0.5269 0.8204 0.8185 0.7782 0.6873 0.5359 
C0027404 0.5333 0.6107 0.5660 0.8385 0.5989 0.4289 0.6105 0.6340 0.4980 0.5401 0.6893 0.4817 0.6247 0.5576 0.5785 0.5557 0.7930 0.5126 0.5332 0.5157 0.5441 0.6585 0.7011 0.8626 0.5566 0.4761 0.6152 0.5054 0.8081 0.6250 0.5769 0.5998 0.5421 0.6554 0.6329 0.4983 0.5072 0.4627 0.5222 0.4990 0.4311 0.4334 0.5144 0.5206 0.4490 0.6150 0.5340 0.6617 0.5019 0.4876 0.8523 0.6881 0.6084 0.6176 0.3844 0.6389 0.5416 0.5783 0.6001 0.5852 0.6007 1.0000 0.6173 0.6508 0.6454 0.5409 0.5026 0.5587 0.5717 0.6122 0.4625 0.5976 0.5018 0.6039 0.7861 0.5411 0.6606 0.5387 0.5614 0.7888 0.6187 0.6261 0.6048 0.5368 0.3591 0.8295 0.5148 0.5219 0.5851 0.5742 0.5646 0.6048 0.4825 0.6347 0.4966 0.4988 0.5852 0.5763 0.4890 0.4136 0.5495 0.4736 0.3929 0.7960 0.5679 0.8635 0.4792 0.5465 
C0003872 0.8003 0.8811 0.7974 0.8153 0.8473 0.5989 0.6513 0.8476 0.6691 0.7823 0.8087 0.6975 0.8557 0.8581 0.8404 0.7950 0.8374 0.6878 0.7592 0.6788 0.7582 0.5222 0.8420 0.7739 0.7718 0.6654 0.8949 0.7104 0.9079 0.9008 0.8875 0.8151 0.8607 0.6662 0.6343 0.7024 0.6676 0.6133 0.6894 0.6756 0.6049 0.6150 0.7904 0.6904 0.6724 0.8669 0.9212 0.6927 0.6802 0.6754 0.8007 0.6817 0.9705 0.9694 0.5330 0.9555 0.7584 0.8227 0.8741 0.8621 0.9146 0.6173 1.0000 0.9137 0.8767 0.6555 0.7035 0.8097 0.8341 0.7368 0.6523 0.7940 0.6875 0.8719 0.8529 0.7204 0.8419 0.5385 0.8523 0.8776 0.9196 0.8089 0.8451 0.7611 0.4083 0.8110 0.6727 0.6595 0.8855 0.8885 0.7979 0.5880 0.6680 0.6010 0.7456 0.6455 0.8185 0.8244 0.6041 0.5720 0.7601 0.6177 0.4914 0.8614 0.7950 0.8175 0.6220 0.5353 
C0024141 0.6849 0.8661 0.7926 0.8177 0.9262 0.6524 0.6201 0.9028 0.7413 0.8121 0.8262 0.7358 0.8459 0.8624 0.8349 0.8223 0.8241 0.7237 0.8065 0.7139 0.7994 0.5297 0.8491 0.7889 0.7990 0.7020 0.8966 0.7466 0.8796 0.9246 0.9092 0.8292 0.8866 0.6486 0.6068 0.7342 0.7385 0.7015 0.7362 0.7437 0.6650 0.6641 0.7873 0.7431 0.6727 0.8797 0.7662 0.7021 0.7266 0.7132 0.7972 0.7389 0.9136 0.9351 0.5723 0.8810 0.7857 0.8372 0.8826 0.8695 0.9527 0.6508 0.9137 1.0000 0.9171 0.7113 0.7410 0.8382 0.8554 0.7407 0.7198 0.8079 0.7516 0.8803 0.8589 0.7593 0.8537 0.5850 0.8873 0.8940 0.8482 0.8541 0.8642 0.7806 0.4643 0.8114 0.6149 0.7393 0.8945 0.9038 0.8239 0.5711 0.6858 0.5798 0.7713 0.6595 0.8493 0.8539 0.6274 0.6034 0.7983 0.6512 0.5403 0.8589 0.8372 0.8133 0.6410 0.5669 
C0004763 0.6602 0.8879 0.8591 0.8208 0.8741 0.7633 0.6669 0.9123 0.7981 0.8208 0.8666 0.8095 0.8501 0.8254 0.8046 0.8883 0.8551 0.7859 0.8432 0.7587 0.9056 0.5794 0.9203 0.7926 0.8366 0.7971 0.9085 0.8307 0.8684 0.9269 0.8793 0.8742 0.8072 0.6880 0.6560 0.8264 0.7569 0.7518 0.7734 0.7707 0.6933 0.7193 0.7289 0.7821 0.7192 0.9347 0.7608 0.7351 0.7844 0.8071 0.8056 0.7996 0.8950 0.9097 0.6735 0.9000 0.8645 0.8624 0.9243 0.9156 0.9009 0.6454 0.8767 0.9171 1.0000 0.7621 0.8372 0.8696 0.9063 0.7646 0.7335 0.8787 0.7813 0.9408 0.8873 0.8573 0.9072 0.6707 0.8787 0.9340 0.9015 0.9132 0.9565 0.8802 0.5774 0.8085 0.6177 0.7795 0.8572 0.8477 0.8847 0.6122 0.7561 0.6248 0.7822 0.6845 0.9152 0.9133 0.6546 0.7081 0.9010 0.7371 0.5431 0.8784 0.8203 0.8229 0.6999 0.5998 
C0008924 0.5313 0.7516 0.6833 0.6707 0.6435 0.4622 0.6702 0.7367 0.6329 0.6059 0.6756 0.4998 0.6520 0.6263 0.5810 0.5768 0.7203 0.6183 0.5857 0.6055 0.6326 0.6348 0.6859 0.6471 0.6439 0.4521 0.6720 0.4947 0.6871 0.6530 0.6187 0.5979 0.6622 0.6922 0.6827 0.4803 0.6357 0.6251 0.6384 0.6095 0.5425 0.5197 0.5598 0.6255 0.4436 0.6825 0.5796 0.7597 0.6370 0.4636 0.6524 0.5077 0.6388 0.6579 0.3748 0.6520 0.5585 0.6423 0.6824 0.6807 0.6925 0.5409 0.6555 0.7113 0.7621 1.0000 0.5814 0.6362 0.6225 0.6394 0.5492 0.6563 0.6199 0.6780 0.7281 0.5206 0.6739 0.3888 0.6174 0.7404 0.6845 0.7845 0.7078 0.6221 0.3751 0.6681 0.5005 0.5533 0.6545 0.6087 0.5548 0.6705 0.4695 0.6648 0.5365 0.5190 0.6046 0.5887 0.5605 0.4075 0.5613 0.6082 0.4045 0.6776 0.5786 0.6647 0.5565 0.4948 
C0011860 0.5306 0.7300 0.7952 0.6560 0.6782 0.6554 0.5385 0.7393 0.6094 0.6676 0.7005 0.6628 0.6643 0.6943 0.6269 0.7595 0.7507 0.6160 0.6528 0.6040 0.9464 0.4575 0.8094 0.6281 0.6781 0.7073 0.7735 0.7394 0.7081 0.7526 0.6941 0.7095 0.6232 0.5606 0.5295 0.7288 0.5909 0.5727 0.6050 0.5979 0.5223 0.5312 0.5737 0.6337 0.6227 0.8097 0.6353 0.5926 0.6122 0.7080 0.6487 0.6911 0.7590 0.7598 0.5593 0.7706 0.7464 0.7099 0.7705 0.7565 0.7138 0.5026 0.7035 0.7410 0.8372 0.5814 1.0000 0.7246 0.9607 0.6441 0.5976 0.8587 0.6098 0.8376 0.7324 0.7648 0.8105 0.5387 0.7239 0.7658 0.7920 0.7194 0.9165 0.9724 0.5430 0.6393 0.4692 0.5989 0.6988 0.7028 0.7765 0.4871 0.5858 0.4847 0.6636 0.5427 0.7921 0.7925 0.5885 0.5907 0.8586 0.6932 0.3706 0.7230 0.6049 0.6676 0.5370 0.5681 
C0026764 0.5540 0.8707 0.7839 0.7188 0.7872 0.6296 0.5094 0.8350 0.8827 0.9571 0.9480 0.6866 0.6952 0.7272 0.6820 0.9317 0.7266 0.8852 0.7425 0.8897 0.7708 0.4149 0.7782 0.7004 0.9677 0.7260 0.8045 0.8228 0.7761 0.8950 0.7800 0.7225 0.7231 0.5339 0.4928 0.7383 0.8617 0.8452 0.8556 0.8824 0.8316 0.8671 0.6968 0.8825 0.8884 0.8516 0.7080 0.5714 0.8445 0.7269 0.7069 0.7184 0.8783 0.8947 0.5760 0.7819 0.9120 0.9828 0.8348 0.8434 0.8704 0.5587 0.8097 0.8382 0.8696 0.6362 0.7246 1.0000 0.8355 0.7062 0.8439 0.7566 0.8983 0.8381 0.7422 0.7711 0.7638 0.5640 0.7565 0.8047 0.7881 0.8633 0.8555 0.7694 0.4383 0.6976 0.5741 0.6466 0.7866 0.7339 0.8016 0.4535 0.6095 0.4693 0.7337 0.8086 0.8358 0.8498 0.5554 0.5810 0.7938 0.6154 0.4537 0.7505 0.7203 0.7323 0.8126 0.4612 
