,ADAR1,AGO1,AGO2,AGO4,ALKBH5,ATXN2,C17ORF85,C22ORF28,CAPRIN1,CELF1,CPEB1,DDX21,DGCR8,EIF3A,EIF3B,EIF3D,EIF3G,EIF4A3,ELAVL1,EWSR1,FMR1_iso1,FMR1_iso7,FUS,FXR1,FXR2,HNRNPA1,HNRNPA2B1,HNRNPC,HNRNPD,HNRNPF,HNRNPH1,HNRNPU,IGF2BP1,IGF2BP2,IGF2BP3,LARP4B,LIN28A,LIN28B,METTL3,MOV10,MSI1,PABPC1,PARK7,PCBP2,PUM1,PUM2,QKI,RBFOX2,RBM10,RBM47,RBPMS,RC3H1,SRRM4,STAU1,TAF15,TARBP2,TARDBP,TIA1,TIAL1,TNRC6B,U2AF2,WDR33,YTHDF1,YTHDF2,ZC3H12A,ZC3H7B,ZFP36
FXR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.532286832911,0.532286832911,0.0,1.0,0.671778795032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00292634537289,0.00858877224949,0.00171243303623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008497635663,0.0,0.0,-0.0236906998851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FXR2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.619911203486,0.619911203486,0.0,0.671778795032,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00541718424635,0.00825780437926,0.00390452250219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0173787859437,0.0,0.0,-0.0139857098887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HNRNPA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0185962570233,0.0,0.0,0.0,0.0,-0.0218521395105,0.0,0.0151641002885,0.0,0.044309327152,0.0184341814047,0.0,0.0,-0.00460239400964,0.0,0.0,1.0,0.548451935824,0.0232711393239,0.0774291771344,0.00446499474448,-0.000487453201889,0.0,-0.00543153415105,0.00488052467785,-0.0177917499117,0.0,0.0,0.0,0.0,0.0,0.0371583433285,-0.00480244282279,0.0,0.0,0.0,0.0,0.0,0.0112873323869,-0.00855453596874,0.0138627569752,-0.0146657361469,0.0,0.0,0.0,0.00422874422343,0.0,0.0658018350298,0.0215654823689,0.00651600588121,0.0,-0.00490214541742,0.0,0.0,0.0,0.0,0.0,0.0
HNRNPA2B1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00380598452278,0.0,0.0,0.0,0.0,-0.00655350555258,0.0,0.0338482119544,0.0,0.100369297971,-0.0101778118915,0.0,0.0,-0.0151839838345,0.0,0.0,0.548451935824,1.0,0.0391183466374,0.279450026247,0.0291878738022,0.0245518352115,0.0,0.00157551659609,0.0174829704346,-0.0204051166189,0.0,0.0,0.0,0.0,0.0,0.185334035094,-0.00430995574788,0.0,0.0,0.0,0.0,0.0,0.0235226780401,-0.00855780949928,-0.0101281865134,-0.0118198360601,0.0,0.0,0.0,-0.007468466495,0.0,0.000300657128887,0.0514622159124,0.0274136355239,0.0,-0.00837365785195,0.0,0.0,0.0,0.0,0.0,0.0
HNRNPC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0289959275437,0.0,0.0,0.0,0.0,0.0181425225115,0.0,0.099516959823,0.0,0.118796138895,-0.0202835706238,0.0,0.0,-0.0242475231342,0.0,0.0,0.0232711393239,0.0391183466374,1.0,0.104772006441,0.0540512699832,0.0517686229732,0.0,-0.0120495675018,-0.00687932307899,-0.0178523591414,0.0,0.0,0.0,0.0,0.0,0.0370075382526,-0.00804712620036,0.0,0.0,0.0,0.0,0.0,0.0927438586202,-0.0217008701282,0.0184198770748,-0.000143513380826,0.0,0.0,0.0,-0.0138132154092,0.0,-0.012609918761,0.149304234303,0.0957847432545,0.0,0.0435565355141,0.0,0.0,0.0,0.0,0.0,0.0
HNRNPD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0021442256526,0.0,0.0,0.0,0.0,-0.0143195250714,0.0,0.102655713808,0.0,0.116189885166,-0.0142307950348,0.0,0.0,-0.0197862062402,0.0,0.0,0.0774291771344,0.279450026247,0.104772006441,1.0,0.0336974882274,0.0890741510799,0.0,-0.0115314344897,0.00573230994248,-0.0290463884541,0.0,0.0,0.0,0.0,0.0,0.129795447817,0.0139211425072,0.0,0.0,0.0,0.0,0.0,0.0585539485263,-0.0126666944698,0.0309765735934,-0.00717288499488,0.0,0.0,0.0,-0.00973575433758,0.0,0.0266772719419,0.0916508410522,0.0378938070341,0.0,0.00129524343385,0.0,0.0,0.0,0.0,0.0,0.0
HNRNPF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00572951566237,0.0,0.0,0.0,0.0,-0.00191741135903,0.0,0.0840440264729,0.0,0.0336000304032,0.0187376299964,0.0,0.0,0.00287866002561,0.0,0.0,0.00446499474448,0.0291878738022,0.0540512699832,0.0336974882274,1.0,0.82565940701,0.0,-0.00341810940186,0.044537235141,-0.00643052965926,0.0,0.0,0.0,0.0,0.0,0.00553907758661,-0.0134137371167,0.0,0.0,0.0,0.0,0.0,0.0370107739051,-0.0156056128251,-0.0201198119563,0.0239091548877,0.0,0.0,0.0,0.015975876137,0.0,-0.00380964592149,0.0304329688818,0.00194888342438,0.0,0.0465760757975,0.0,0.0,0.0,0.0,0.0,0.0
HNRNPH1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0220056947928,0.0,0.0,0.0,0.0,0.0249879471031,0.0,0.119339525284,0.0,0.0435354236366,0.0233172799836,0.0,0.0,0.0137188745253,0.0,0.0,-0.000487453201889,0.0245518352115,0.0517686229732,0.0890741510799,0.82565940701,1.0,0.0,-0.00785608768527,0.0537166799325,-0.0104727441039,0.0,0.0,0.0,0.0,0.0,0.0720235467264,-0.0164925348874,0.0,0.0,0.0,0.0,0.0,0.0362277566625,-0.018648881793,-0.0261852467926,0.0544182395053,0.0,0.0,0.0,0.014859626123,0.0,0.00451266399919,0.0258171331277,-0.00463520233036,0.0,0.0305549392125,0.0,0.0,0.0,0.0,0.0,0.0
HNRNPU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IGF2BP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0199598000289,0.0,0.0,0.0,0.0,0.00616911578215,0.0,-0.0145408324532,0.0,0.0280252393427,-0.00636714381596,0.000754609265223,0.000754609265223,-0.00710196181471,0.00292634537289,0.00541718424635,-0.00543153415105,0.00157551659609,-0.0120495675018,-0.0115314344897,-0.00341810940186,-0.00785608768527,0.0,1.0,0.312987523826,0.943612700072,0.0,0.0,0.0,0.0,0.0,0.0103904856538,-0.00550449353621,0.0,0.0271770433392,0.0,0.0,0.00108273707292,-0.0143050269057,-0.00436238587587,-0.00692799286275,0.0143178141341,0.0,0.0,0.0,-0.00502115970391,0.0,-0.00222891819436,-0.0198363216646,-0.0162861786689,0.0,-0.014719595123,0.0,0.0,0.0,0.0,0.0,0.0
