chemical_index	chemical_id	InChI_Key
249	ZINC00006651	ULWKNIVZSSFZOU-UHFFFAOYSA-M
250	ZINC00006694	LNPDTQAFDNKSHK-UHFFFAOYSA-N
251	ZINC00006785	MHUUDVZSPFRUSK-RQZCQDPDSA-N
252	ZINC00006787	LUKBXSAWLPMMSZ-OWOJBTEDSA-N
253	ZINC00006788	LLBLNMUONVVVPG-UHFFFAOYSA-O
254	ZINC00006892	ZGOOPZVQMLHPFM-UHFFFAOYSA-N
255	ZINC00006923	CBQGYUDMJHNJBX-OALUTQOASA-O
256	ZINC00006989	IYOZTVGMEWJPKR-VOMCLLRMSA-O
257	ZINC00007013	TVSNVPGPFGAKPT-ZYHUDNBSSA-O
258	ZINC00007031	YLXDSYKOBKBWJQ-GFCCVEGCSA-N
259	ZINC00007037	NZFXNLXEQRQPJT-UHFFFAOYSA-N
260	ZINC00007042	WVZSEUPGUDIELE-HTAPYJJXSA-O
261	ZINC00007253	MUDRLQRJCGJJTB-UHFFFAOYSA-N
262	ZINC00007275	AGVNHDNTFYHZNL-QGZVFWFLSA-O
263	ZINC00007280	QSAMWSFELUCKOA-WAYWQWQTSA-N
264	ZINC00007301	MAOSUPNJVJGJEU-UHFFFAOYSA-N
265	ZINC00007335	IHBAVXVTGLANPI-QMMMGPOBSA-O
266	ZINC00007343	AETHRPHBGJAIBT-UHFFFAOYSA-M
267	ZINC00007360	MHNSOBBJZCWUGS-YOFSQIOKSA-O
268	ZINC00007382	VKMFDKYCIKEDMR-UHFFFAOYSA-O
269	ZINC00007453	ADQZGIYHFQQPRB-UHFFFAOYSA-N
270	ZINC00007455	RZJQGNCSTQAWON-UHFFFAOYSA-N
271	ZINC00007459	UOLJKAPABHXFRE-UHFFFAOYSA-O
272	ZINC00007460	YCOYDOIWSSHVCK-UHFFFAOYSA-N
273	ZINC00007489	BMNCXCJXZKZJII-UHFFFAOYSA-N
274	ZINC00007601	NDAUXUAQIAJITI-LBPRGKRZSA-O
275	ZINC00007673	VPPJLAIAVCUEMN-GFCCVEGCSA-N
276	ZINC00007724	QQGWEXFLMJGCAL-UHFFFAOYSA-N
277	ZINC00007747	NRUBIXKLDJOQAI-UHFFFAOYSA-N
278	ZINC00007778	XOKVHFNTYHPEHN-UHFFFAOYSA-M
279	ZINC00007873	JRQGTFOVYZJVQO-UHFFFAOYSA-N
280	ZINC00007874	GVICCSAPBVEDOP-UHFFFAOYSA-N
281	ZINC00007944	UBXGZTRRRHVEAJ-UHFFFAOYSA-O
282	ZINC00007981	ZGLAVBMQKPBEQJ-UHFFFAOYSA-O
283	ZINC00008046	AFWKBSMFXWNGRE-ONEGZZNKSA-N
284	ZINC00008082	QNOXYUNHIGOWNY-UHFFFAOYSA-N
285	ZINC00008089	PJMAXCRZQLWZFH-ZETCQYMHSA-O
286	ZINC00008090	PJMAXCRZQLWZFH-SSDOTTSWSA-O
287	ZINC00008107	XHWRWCSCBDLOLM-UHFFFAOYSA-N
288	ZINC00008126	OUUOWZGDTCPVSV-MRXNPFEDSA-N
289	ZINC00008252	SFZDYZZYPDGADB-UHFFFAOYSA-N
290	ZINC00008253	HSOHROOUHRUSJR-UHFFFAOYSA-N
291	ZINC00008492	MCJGNVYPOGVAJF-UHFFFAOYSA-N
292	ZINC00008508	MNSNMTASPOHKEI-UHFFFAOYSA-N
293	ZINC00008558	SSMIFVHARFVINF-UHFFFAOYSA-N
294	ZINC00008600	JJWJSIAJLBEMEN-CYBMUJFWSA-N
295	ZINC00008667	SYTBZMRGLBWNTM-SNVBAGLBSA-M
296	ZINC00008732	GGPZCOONYBPZEW-UHFFFAOYSA-N
