index	ID
502	BIRC5_HUMAN
503	BIRC8_HUMAN
504	BKRB1_CANFA
505	BKRB1_HUMAN
506	BKRB1_MACMU
507	BKRB1_MOUSE
508	BKRB1_RABIT
509	BKRB1_RAT
510	BKRB2_CAVPO
511	BKRB2_HUMAN
512	BKRB2_RAT
513	BLA1_ECOLX
514	BLA1_KLEPN
515	BLA1_STEMA
516	BLAB_AERHY
517	BLAB_BACCE
518	BLAB_BACFR
519	BLAC_BACLI
520	BLAC_STAAU
521	BLAN_ENTCL
522	BLAT_ECOLX
523	BLKPC_KLEPN
524	BLK_HUMAN
525	BLK_MOUSE
526	BLO1_ECOLX
527	BLO2_ECOLX
528	BMP1_HUMAN
529	BMP2K_HUMAN
530	BMP4_HUMAN
531	BMPR2_HUMAN
532	BMR1A_HUMAN
533	BMX_HUMAN
534	BRAF_HUMAN
535	BRCA1_HUMAN
536	BRD2_HUMAN
537	BRD4_HUMAN
538	BRS3_HUMAN
539	BRS3_MOUSE
540	BRS3_RAT
541	BRSK1_HUMAN
542	BRSK2_HUMAN
543	BTK_HUMAN
544	BXA1_CLOBH
545	BXA1_CLOBO
546	C0IX24_9CNID
547	C11B1_BOVIN
548	C11B1_HUMAN
549	C11B1_RAT
550	C11B2_HUMAN
551	C1R_HUMAN
552	C1S_HUMAN
553	C3AR_HUMAN
554	C3SLN2_ECOLX
555	C3SWJ7_ECOLX
556	C3TDZ2_ECOLX
557	C3TIE2_ECOLX
558	C4LRQ6_9INFA
559	C5AR_HUMAN
560	CA2D1_HUMAN
561	CA2D1_MOUSE
562	CA2D1_RAT
563	CA2D2_HUMAN
564	CA2D2_RAT
565	CA2D3_HUMAN
566	CA2D3_RAT
567	CA2D4_HUMAN
568	CAC1A_RAT
569	CAC1B_HUMAN
570	CAC1B_RAT
571	CAC1C_HUMAN
572	CAC1C_MOUSE
573	CAC1C_RABIT
574	CAC1C_RAT
575	CAC1D_HUMAN
576	CAC1D_MOUSE
577	CAC1D_RAT
578	CAC1E_RAT
579	CAC1F_HUMAN
580	CAC1G_HUMAN
581	CAC1G_RAT
582	CAC1H_HUMAN
583	CAC1H_RAT
584	CAC1I_HUMAN
585	CAC1I_RAT
586	CAC1S_HUMAN
587	CAC1S_RAT
588	CACB1_RAT
589	CAH10_HUMAN
590	CAH11_HUMAN
591	CAH12_HUMAN
592	CAH13_HUMAN
593	CAH13_MOUSE
594	CAH14_HUMAN
595	CAH15_MOUSE
596	CAH1_HUMAN
597	CAH2_BOVIN
598	CAH2_HUMAN
599	CAH2_RAT
600	CAH3_HUMAN
601	CAH3_RAT
602	CAH4_BOVIN
603	CAH4_HUMAN
604	CAH4_RAT
605	CAH5A_HUMAN
606	CAH5A_MOUSE
607	CAH5A_RAT
608	CAH5B_HUMAN
609	CAH5B_MOUSE
610	CAH6_BOVIN
611	CAH6_HUMAN
612	CAH7_HUMAN
613	CAH7_MOUSE
614	CAH8_HUMAN
615	CAH9_HUMAN
616	CAH_METTE
617	CALM_HUMAN
618	CALRL_HUMAN
619	CAN1_HUMAN
620	CAN1_MOUSE
621	CAN1_PIG
622	CAN1_RAT
623	CAN2_BOVIN
624	CAN2_CHICK
625	CAN2_HUMAN
626	CAN2_PIG
627	CANX_CHICK
628	CAN_YEAST
629	CARM1_HUMAN
630	CARM1_MOUSE
631	CARP_RHICH
632	CARP_YEAST
633	CAS1_ARATH
634	CASP1_HUMAN
635	CASP1_MOUSE
636	CASP2_HUMAN
637	CASP3_HUMAN
638	CASP4_HUMAN
639	CASP5_HUMAN
640	CASP6_HUMAN
641	CASP7_HUMAN
642	CASP8_HUMAN
643	CASP9_HUMAN
644	CASPA_HUMAN
645	CASPE_HUMAN
646	CASR_BOVIN
647	CASR_HUMAN
648	CASR_RAT
649	CATB_BOVIN
650	CATB_HUMAN
651	CATB_MOUSE
652	CATB_RAT
653	CATC_HUMAN
654	CATD_BOVIN
655	CATD_HUMAN
656	CATE_HUMAN
657	CATF_HUMAN
658	CATG_HUMAN
659	CATG_MOUSE
660	CATH_HUMAN
661	CATK_HUMAN
662	CATK_MOUSE
663	CATK_RABIT
664	CATK_RAT
665	CATL1_BOVIN
666	CATL1_HUMAN
667	CATL1_MOUSE
668	CATL1_RAT
669	CATL2_HUMAN
670	CATL3_PARTE
671	CATS_HUMAN
672	CATS_MOUSE
673	CATS_RAT
674	CATZ_HUMAN
675	CBPA1_BOVIN
676	CBPA1_HUMAN
677	CBPA2_HUMAN
678	CBPA3_HUMAN
679	CBPA4_HUMAN
680	CBPA5_HUMAN
681	CBPA6_HUMAN
682	CBPB1_HUMAN
683	CBPB1_PIG
684	CBPB2_HUMAN
685	CBPM_HUMAN
686	CBPN_HUMAN
687	CBP_HUMAN
688	CBR1_HUMAN
689	CCKAR_CAVPO
690	CCKAR_HUMAN
691	CCKAR_MOUSE
692	CCKAR_RAT
693	CCL2_HUMAN
694	CCL5_HUMAN
695	CCNA1_HUMAN
696	CCNA2_HUMAN
697	CCNB1_HUMAN
698	CCNB2_HUMAN
699	CCNB3_HUMAN
700	CCNB_MARGL
701	CCND1_HUMAN
702	CCND2_HUMAN
703	CCND3_HUMAN
704	CCNE1_HUMAN
705	CCNE2_HUMAN
706	CCNH_HUMAN
707	CCNT1_HUMAN
708	CCNT2_HUMAN
709	CCR1_HUMAN
710	CCR1_MOUSE
711	CCR2_HUMAN
712	CCR2_MOUSE
713	CCR2_RAT
714	CCR3_HUMAN
715	CCR3_MACMU
716	CCR3_MOUSE
717	CCR3_RAT
718	CCR4_HUMAN
719	CCR5_HUMAN
720	CCR5_MACFA
721	CCR5_MOUSE
722	CCR7_HUMAN
723	CCR8_HUMAN
724	CCR9_HUMAN
725	CD11A_HUMAN
726	CD11B_HUMAN
727	CD22_MOUSE
728	CD38_HUMAN
729	CD4_HUMAN
730	CD5R1_HUMAN
731	CDC42_HUMAN
732	CDC45_HUMAN
733	CDC7_HUMAN
734	CDD_HUMAN
735	CDD_MOUSE
736	CDK14_HUMAN
737	CDK15_HUMAN
738	CDK16_HUMAN
739	CDK17_HUMAN
740	CDK18_HUMAN
741	CDK19_HUMAN
742	CDK1_HUMAN
743	CDK1_MOUSE
744	CDK1_YEAST
745	CDK2_HUMAN
746	CDK3_HUMAN
747	CDK4_HUMAN
748	CDK5_HUMAN
749	CDK6_HUMAN
750	CDK7_HUMAN
751	CDK8_HUMAN
752	CDK9_HUMAN
753	CDKA1_HUMAN
754	CDKL1_HUMAN
755	CDKL2_HUMAN
756	CDKL3_HUMAN
757	CEGT_HUMAN
758	CEGT_MOUSE
759	CEL2A_HUMAN
760	CEL2A_PIG
761	CEL2A_RAT
762	CEL2B_HUMAN
763	CEL3A_HUMAN
764	CEL3B_HUMAN
765	CELA1_HUMAN
766	CELA1_PIG
767	CEL_BOVIN
768	CEL_HUMAN
769	CETP_HUMAN
770	CETP_RABIT
771	CFAB_HUMAN
772	CFTR_HUMAN
773	CHIA_HUMAN
774	CHIA_SERMA
775	CHIB_SERMA
776	CHIO_HUMAN
777	CHIT_YEAST
778	CHK1_HUMAN
779	CHK2_HUMAN
780	CHKA_HUMAN
781	CHLE_HORSE
782	CHLE_HUMAN
783	CHLE_MOUSE
784	CHS1_CANAX
785	CHS1_YEAST
786	CHS2_YEAST
787	CHS3_YEAST
788	CISD1_HUMAN
789	CKX2_ARATH
790	CLAT_HUMAN
791	CLAT_RAT
792	CLK1_HUMAN
793	CLK1_MOUSE
794	CLK2_HUMAN
795	CLK2_MOUSE
796	CLK3_HUMAN
797	CLK3_MOUSE
798	CLK4_HUMAN
799	CLK4_MOUSE
800	CLTR1_CAVPO
801	CLTR1_HUMAN
802	CLTR2_HUMAN
803	CMA1_HUMAN
804	CMA1_RAT
805	CNCG_BOVIN
806	CNCG_HUMAN
807	CNGA1_BOVIN
808	CNR1_HUMAN
809	CNR1_MOUSE
810	CNR1_RAT
811	CNR2_HUMAN
812	CNR2_MOUSE
813	CNR2_RAT
814	CNRG_BOVIN
815	CNRG_HUMAN
816	COLA_CLOPE
817	COMT_HUMAN
818	COMT_RAT
819	COX1_HUMAN
820	COX1_SHEEP
821	COX2_HUMAN
822	COX2_SHEEP
823	CP11A_BOVIN
824	CP11A_RAT
825	CP121_MYCTU
826	CP17A_HUMAN
827	CP17A_RAT
828	CP19A_HUMAN
829	CP19A_RAT
830	CP1B1_HUMAN
831	CP21A_HUMAN
832	CP24A_HUMAN
833	CP24A_RAT
834	CP26A_HUMAN
835	CP27A_HUMAN
836	CP27B_HUMAN
837	CP2C9_HUMAN
838	CP2J2_HUMAN
839	CP3A4_HUMAN
840	CP4A4_RABIT
841	CP4AA_RAT
842	CP4AB_HUMAN
843	CP4AE_RAT
844	CP4F2_HUMAN
845	CP51A_HUMAN
846	CP51A_RAT
847	CP51_MYCTU
848	CP51_TRYCC
849	CP7A1_RAT
850	CPN2_HUMAN
851	CPNS1_HUMAN
852	CPNS1_MOUSE
853	CPNS1_PIG
854	CPNS1_RAT
855	CPT1A_RAT
856	CPT1B_RAT
857	CPXA_PSEPU
858	CREB1_HUMAN
859	CRFR1_HUMAN
860	CRFR1_MOUSE
861	CRFR1_RAT
862	CRFR2_HUMAN
863	CRFR2_MOUSE
864	CRFR2_RAT
865	CRTM_STAAU
866	CSF1R_HUMAN
867	CSF1R_MOUSE
868	CSK21_HUMAN
869	CSK21_MOUSE
870	CSK21_RAT
871	CSK22_HUMAN
872	CSK2A_MAIZE
873	CSK2A_SCHPO
874	CSK2B_HUMAN
875	CSK2B_RAT
876	CSK_HUMAN
877	CSK_MOUSE
878	CTNB1_HUMAN
879	CTR4_HUMAN
880	CTRA_BOVIN
881	CTRB1_HUMAN
882	CTRB_BOVIN
883	CTRC_HUMAN
884	CTRL_HUMAN
885	CTRO_HUMAN
886	CXCR1_HUMAN
887	CXCR2_HUMAN
888	CXCR3_CANFA
889	CXCR3_HUMAN
890	CXCR3_MOUSE
891	CXCR3_RAT
892	CXCR4_HUMAN
893	CXCR4_RAT
894	CY24A_HUMAN
895	CY24B_HUMAN
896	CYAA_BACAN
897	CYNT_HELPY
898	CYNT_MYCTU
899	CYSP_TRYCR
900	D1MIX9_PSEAI
901	D2K2A8_9HEPC
902	D3W065_CHRVO
903	D3ZAN3_RAT
904	D3ZGQ2_RAT
905	D3ZJF9_RAT
906	D3ZUM4_RAT
907	D3ZWV0_RAT
908	D4A3N4_RAT
909	D5HSX5_9GAMM
910	D6NSM8_ACIBA
911	DAPE_HAEIN
912	DAPK1_HUMAN
913	DAPK2_HUMAN
914	DAPK3_HUMAN
915	DCAM_HUMAN
916	DCAM_RAT
917	DCK_HUMAN
918	DCK_MOUSE
919	DCLK1_HUMAN
920	DCLK2_HUMAN
921	DCLK3_HUMAN
922	DCMC_HUMAN
923	DCMC_MOUSE
924	DCOR_HUMAN
925	DCOR_RAT
926	DDAH1_HUMAN
927	DDR1_HUMAN
928	DDR2_HUMAN
929	DDX3X_HUMAN
930	DEF1A_ARATH
931	DEFM_HUMAN
932	DEF_ECOLI
933	DEF_MYCTU
934	DEF_PSEAE
935	DEF_STAAM
936	DGAT1_HUMAN
937	DGAT1_MOUSE
938	DGAT1_RAT
939	DGLA_HUMAN
940	DGLB_HUMAN
941	DHAS_HELPY
942	DHB1_HUMAN
943	DHB2_HUMAN
944	DHB3_HUMAN
945	DHB3_RAT
946	DHB7_HUMAN
947	DHE3_BOVIN
948	DHI1_HUMAN
949	DHI1_MOUSE
950	DHI1_RAT
951	DHI2_HUMAN
952	DHI2_MOUSE
953	DHI2_RAT
954	DHPR_HUMAN
955	DHPR_RAT
956	DHRS9_RAT
957	DHSO_HUMAN
958	DHSO_RAT
959	DHYS_RAT
960	DKK1_HUMAN
961	DLG4_HUMAN
962	DLK1_HUMAN
963	DMPK_HUMAN
964	DNK_DROME
965	DNLI1_HUMAN
966	DNM3B_HUMAN
967	DNMT1_HUMAN
968	DNPEP_HUMAN
969	DNSL3_HUMAN
970	DOPO_BOVIN
971	DOPO_HUMAN
972	DOPO_RAT
973	DPEP1_HUMAN
974	DPEP1_PIG
975	DPO1_THEAQ
976	DPO3A_BACSU
977	DPO3_BACSU
978	DPO3_STAAU
979	DPOD1_HUMAN
980	DPOG1_HUMAN
981	DPOLA_HUMAN
982	DPOLB_HUMAN
983	DPOLB_RAT
984	DPOL_HCMVA
985	DPOL_HHV11
986	DPOL_HHV1K
987	DPOL_HHV6U
988	DPOL_VZVD
989	DPP2_HUMAN
990	DPP2_RAT
991	DPP3_RAT
992	DPP4_HUMAN
993	DPP4_MOUSE
994	DPP4_PIG
995	DPP4_RAT
996	DPP6_RAT
997	DPP8_HUMAN
998	DPP9_HUMAN
999	DPYD_HUMAN
1000	DRB3_HUMAN
1001	DRD1_BOVIN
1002	DRD1_HUMAN
1003	DRD1_MOUSE
1004	DRD1_PIG
1005	DRD1_RAT
1006	DRD2_BOVIN
1007	DRD2_CANFA
1008	DRD2_CHLAE
1009	DRD2_HUMAN
1010	DRD2_MOUSE
1011	DRD2_RAT
1012	DRD3_HUMAN
1013	DRD3_RAT
1014	DRD4_HUMAN
1015	DRD4_MOUSE
1016	DRD4_RAT
1017	DRD5_HUMAN
1018	DRD5_RAT
1019	DRTS_PLAFK
1020	DRTS_TOXGO
1021	DRTS_TRYCR
1022	DUOX2_HUMAN
1023	DUS1_HUMAN
1024	DUS1_MOUSE
1025	DUS22_HUMAN
1026	DUS3_HUMAN
1027	DUS6_RAT
1028	DUTL_HUMAN
1029	DUT_HUMAN
1030	DXR_ECOLI
1031	DXR_MYCTU
1032	DXR_SYNY3
1033	DYN1_HUMAN
1034	DYN2_HUMAN
1035	DYR1A_HUMAN
1036	DYR1A_MOUSE
1037	DYR1A_RAT
1038	DYR1B_HUMAN
1039	DYR1_ECOLX
1040	DYRK2_HUMAN
1041	DYRK3_HUMAN
1042	DYR_BOVIN
1043	DYR_CANAX
1044	DYR_CHICK
1045	DYR_ECOLI
1046	DYR_HUMAN
1047	DYR_LACCA
1048	DYR_MOUSE
1049	DYR_MYCTU
1050	DYR_PNECA
1051	DYR_RAT
1052	DYR_STAAU
1053	DYR_STAAW
1054	DYR_YEAST
1055	E1BN64_BOVIN
1056	E2AK1_HUMAN
1057	E2AK2_HUMAN
1058	E2AK3_HUMAN
1059	E2AK4_HUMAN
1060	E2QDN0_ECOLX
1061	EAA1_HUMAN
1062	EAA1_RAT
1063	EAA2_HUMAN
1064	EAA2_RAT
1065	EAA3_HUMAN
1066	EAA3_RAT
1067	EAA4_HUMAN
1068	EAA4_RAT
1069	EAA5_HUMAN
1070	EBP_CAVPO
1071	EBP_HUMAN
1072	ECE1_BOVIN
1073	ECE1_HUMAN
1074	ECE1_RAT
1075	ECE2_HUMAN
1076	ECR_DROME
1077	ECR_LUCCU
1078	EDNRA_HUMAN
1079	EDNRA_MOUSE
1080	EDNRA_PIG
1081	EDNRA_RAT
