InChI Key	SMILES
RVOLLAQWKVFTGE-UHFFFAOYSA-N	C[n+]1cccc(c1)OC(=O)N(C)C
GHMLBKRAJCXXBS-UHFFFAOYSA-N	Oc1cccc(c1)O
UHSKFQJFRQCDBE-UHFFFAOYSA-O	CCC[NH+](CCC)CCc1cccc2c1CC(=O)N2
LXANPKRCLVQAOG-NSHDSACASA-N	Fc1cc2[C@]3(CCOc2cc1)NC(=O)NC3=O
FDDDEECHVMSUSB-UHFFFAOYSA-N	Nc1ccc(cc1)S(=O)(=O)N
UJNDLZYLCRUOGS-UHFFFAOYSA-N	Nc1ccc(cc1)S(=O)(=O)[N-]c1noc(c1C)C
HMHVCUVYZFYAJI-UHFFFAOYSA-N	O=S1(=O)CCCCN1c1ccc(cc1)S(=O)(=O)N
JUZZEWSCNBCFRL-UHFFFAOYSA-O	C1CC[NH+](CC1)C1(CCCCC1)c1cccs1
NFIXBCVWIPOYCD-UHFFFAOYSA-O	CC[NH+](CCOc1ccc(cc1)Cc1ccccc1)CC
VXCONGLPCAPYEU-UHFFFAOYSA-N	OCCc1sc(=O)n(c1C)Cc1cnc(nc1N)C
UPSPUYADGBWSHF-UHFFFAOYSA-M	[O-]C(=O)Cc1ccc(n1C)C(=O)c1ccc(cc1)C
TVYLLZQTGLZFBW-GOEBONIOSA-O	COc1cccc(c1)[C@]1(O)CCCC[C@H]1C[NH+](C)C
JOFWLTCLBGQGBO-UHFFFAOYSA-N	Clc1ccc2c(c1)C(=NCc1n2c(C)nn1)c1ccccc1Cl
XEFQLINVKFYRCS-UHFFFAOYSA-N	Clc1ccc(c(c1)O)Oc1ccc(cc1Cl)Cl
HDOZVRUNCMBHFH-UHFFFAOYSA-O	Clc1ccc2c(c1)C(=Cc1c(S2)cccc1)OCC[NH+](C)C
DKYWVDODHFEZIM-LLVKDONJSA-M	[O-]C(=O)[C@@H](c1cccc(c1)C(=O)c1ccccc1)C
CBQGYUDMJHNJBX-RBUKOAKNSA-O	CCOc1ccccc1O[C@H](c1ccccc1)[C@H]1OCC[NH2+]C1
OZWKMVRBQXNZKK-LLVKDONJSA-M	[O-]C(=O)[C@@H]1CCn2c1ccc2C(=O)c1ccccc1
XWTYSIMOBUGWOL-LLVKDONJSA-O	O[C@@H](c1cc(O)cc(c1)O)C[NH2+]C(C)(C)C
CBQGYUDMJHNJBX-MOPGFXCFSA-O	CCOc1ccccc1O[C@@H](c1ccccc1)[C@@H]1OCC[NH2+]C1
XFJSSDHKIXXJLM-MRVPVSSYSA-O	C[NH+]1CCC=C2[C@H]1CCc1c2nc(s1)N
WJUGGKGTCAVATA-UHFFFAOYSA-P	C1CC[NH+](CC1)Cc1ccc(cc1)c1cc2ccccc2c2=[NH+]CCn12
JAQUASYNZVUNQP-XIRDDKMYSA-O	Oc1ccc2c(c1)[C@@]13CCCC[C@H]3[C@H](C2)[NH+](CC1)C
PYKJFEPAUKAXNN-UHFFFAOYSA-N	N#CCc1c(C)nc2n1cccc2OCc1ccccc1
LUZIZYOYWXEFRG-UHFFFAOYSA-N	Sc1nccn1Cc1cccs1
RATZLMXRALDSJW-ZDUSSCGKSA-O	CC[C@]1(Cc2c(O1)cccc2)C1=[NH+]CCN1
KUXOYSZHUFZKHN-UHFFFAOYSA-M	N#CC(=Cc1cc(O)c(c(c1)[N+](=O)[O-])[O-])C#N
BBFJODMCHICIAA-UHFFFAOYSA-M	O=Cc1cc(O)c(c(c1)[N+](=O)[O-])[O-]
DHCYTSABKOYFHB-CMDGGOBGSA-N	Cc1noc(c1)/C=C/c1cc(c(c(c1)C(C)(C)C)O)C(C)(C)C
XARSDFQMNNNPBL-PHDIDXHHSA-O	Nc1noc(n1)[C@@H]1C[NH+]2C[C@H]1CC2
MHJPVIGLQHLUFI-UHFFFAOYSA-N	COc1ccccc1n1c(C)nnc1c1ccc(cc1)c1ccccc1
BSMNRYCSBFHEMQ-KCJUWKMLSA-O	Clc1ccc(cc1Cl)[C@@]12C[NH2+]C[C@H]2C1
FRXXZKCFLLWYIW-UHFFFAOYSA-O	Nc1c2CCc3c(c2[nH+]c2c1cccc2)cccc3
XHYBFCBDMIPDON-UHFFFAOYSA-N	O=C1CCCN(N1)c1ccccc1
HLVVITIHAZBPKB-NSHDSACASA-O	O[C@H]1CCCc2c1c(N)c1c([nH+]2)cccc1
QCCHBHSAIQIQGO-UHFFFAOYSA-N	O=C1NC(=O)C2(N1)c1cc(F)ccc1c1c2cc(F)cc1
PQWGEDAZDHRHKD-UHFFFAOYSA-N	S=c1[nH]ccn1Cc1cscc1
OGJPXUAPXNRGGI-UHFFFAOYSA-N	CCn1cc(C(=O)[O-])c(=O)c2c1cc(N1CC[NH2+]CC1)c(c2)F
CLDJCRWXLDLJLO-AWEZNQCLSA-M	[O-]C(=O)CN1C(=S)[C@@H](Oc2c1cccc2C(C)C)C(C)C
DJEIHHYCDCTAAH-UHFFFAOYSA-M	COc1ccc(cc1)c1c(onc1c1ccc(cc1)OC)CC(=O)[O-]
VAZAPHZUAVEOMC-UHFFFAOYSA-N	CC(=O)Nc1ccc(cc1)C(=O)Nc1ccccc1N
ZAFYATHCZYHLPB-UHFFFAOYSA-N	Cc1ccc(cc1)c1nc2n(c1CC(=O)N(C)C)cc(cc2)C
DMJWENQHWZZWDF-PKOBYXMFSA-O	C[NH+]1CCc2c([C@@H]3[C@@H]1CCc1c3cccc1)cc(c(c2)Cl)O
JRWZLRBJNMZMFE-CYBMUJFWSA-O	Oc1ccc(cc1)CC[C@H]([NH2+]CCc1ccc(c(c1)O)O)C
WVVXBPKOIZGVNS-UHFFFAOYSA-N	CC(=O)NCCc1c(Cc2ccccc2)[nH]c2c1cccc2
FEROPKNOYKURCJ-CYBMUJFWSA-O	COc1cc(N)c(cc1C(=O)N[C@@H]1C[NH+]2CCC1CC2)Cl
RFHAOTPXVQNOHP-UHFFFAOYSA-N	Fc1ccc(c(c1)F)C(Cn1cncn1)(Cn1cncn1)O
KFQYTPMOWPVWEJ-INIZCTEOSA-O	CCC[NH+]([C@H]1CCc2c(C1)cccc2O)CCc1cccs1
NCNFDKWULDWJDS-OAHLLOKOSA-O	O=C1[C@H](CCc2c1c1cccc3c1n2CCC3)Cn1cc[nH+]c1C
GGUSQTSTQSHJAH-HXUWFJFHSA-O	Fc1ccc(cc1)CC1CC[NH+](CC1)C[C@H](c1ccc(cc1)Cl)O
AMKVXSZCKVJAGH-UHFFFAOYSA-O	CNS(=O)(=O)CCc1ccc2c(c1)c(c[nH]2)C1CC[NH+](CC1)C
CQGVAZZNWNPZBE-UHFFFAOYSA-N	S=c1[nH]ccn1CCc1cccs1
GSLWRDKYYIQKIM-TZMCWYRMSA-O	CCC[NH+]1CCC[C@H]2[C@H]1COc1c2cc(cc1)O
HDTOQYUZMCNTBZ-SNVBAGLBSA-O	C[NH+]1CCC2(CC1)CC(=C)[C@H](O2)C
ZGEGOFCLSWVVKG-UHFFFAOYSA-N	CC(n1c(=O)c2c(ncn2c2c1cccc2)c1noc(n1)C1CC1)C
CDOZDBSBBXSXLB-HNNXBMFYSA-O	CC[NH+]([C@H](CN1c2ccccc2Sc2c1cccc2)C)CC
ZJVFLBOZORBYFE-UHFFFAOYSA-N	CC(C(=O)c1c(nn2c1cccc2)C(C)C)C
LFBZZHVSGAHQPP-UHFFFAOYSA-N	Nc1ccc(cc1)C1=NN=C(Cc2c1cc1OCOc1c2)C
VHFVKMTVMIZMIK-UHFFFAOYSA-O	Clc1cccc(c1)N1CC[NH2+]CC1
QKIVRALZQSUWHH-SFYZADRCSA-M	ONC(=O)CN(C(=O)[C@@H]1CCCC[C@@H]1C(=O)[O-])C
UBQNRHZMVUUOMG-UHFFFAOYSA-N	NS(=O)(=O)Cc1noc2c1cccc2
RAHIHNWEZPLHGV-WEVVVXLNSA-N	CCOC(=O)/C(=C/c1ccc(c(c1)O)O)/C#N
SDWUPSHVUBKGKN-UHFFFAOYSA-N	Cc1[nH]cnc1Cc1scc(n1)c1ccccc1
ZCVMWBYGMWKGHF-UHFFFAOYSA-O	C[NH+]1CCC(=C2c3ccccc3CC(=O)c3c2ccs3)CC1
MKTVMEMIKNBVHI-YUMQZZPRSA-N	O=C([C@@H](SC(=O)c1cccs1)C)N[C@H]1CCSC1=O
XSVMFMHYUFZWBK-NSHDSACASA-O	CCN(C(=O)Oc1cccc(c1)[C@@H]([NH+](C)C)C)C
PJYVGMRFPFNZCT-UHFFFAOYSA-O	O=c1ccc2c([nH]1)c(c[nH]2)C1=CC[NH2+]CC1
FELGMEQIXOGIFQ-CYBMUJFWSA-O	O=C1[C@H](CCc2c1c1ccccc1n2C)Cn1cc[nH+]c1C
