Molregno	StandardInChIKey	Chirality	IsProdrug	CanonicalSMILES
2011049	PXPNIRJIDMOLDC-UHFFFAOYSA-N	Unknown	Unknown	FC(F)(F)c1cc(cc(n1)C(F)(F)F)N2CCN(C2=O)c3cnccc3C4CC4
2011048	QZKKDUOKOCMLKP-UHFFFAOYSA-N	Unknown	Unknown	FC(F)(F)c1cc(cc(n1)C2CC2)N3CCN(C3=O)c4cnccc4C5CC5
1745706	RSYWEFIQLHVGST-UHFFFAOYSA-N	Unknown	Unknown	CCN1N=C2N(N(Cc3ccc(nc3C)C(F)(F)F)C(=O)C(=C2c4ccc(Cl)cc4)c5ccncc5F)C1=O
937044	YYBVCSWMVDGZPF-UHFFFAOYSA-N	Unknown	Unknown	O=C(N1CCC2(CC1)CCN(CC2)c3ncccn3)c4csnn4
897563	FNRKFBRHHRCWFL-QDXATWJZSA-N	Unknown	Unknown	C[C@@H](O)CC(C)(C)N.Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
873980	QMFXULWHAVGSQT-UHFFFAOYSA-N	Unknown	Unknown	NC1=C(C#N)C(c2ccncc2)c3ccc(Nc4ccccc4)cc3O1
939912	RULIAUGJMVIUMH-UHFFFAOYSA-N	Unknown	Unknown	COc1ccc(CNc2ccnc(n2)c3cccc(OC)c3)c(OC)c1
887928	QRIYZOJXJVKWQD-UHFFFAOYSA-N	Unknown	Unknown	Cc1cccc(c1)C(=O)NC2CCN(CC2)C(=NCc3occc3)S
930899	JGYBLEIUOMVEGQ-UHFFFAOYSA-N	Unknown	Unknown	CCOC(=O)C1=NOC(CNC(=O)C2=NOC(CNC(=O)c3c(C)onc3c4ccccc4Cl)C2)C1
1683510	YDFGHELXEJKWAC-QTVPBASASA-N	Unknown	Unknown	COc1ccccc1\C=C\C=N\N2CCN(Cc3cccc4ccccc34)CC2
874350	QFYBYZLHPIALCZ-ZETCQYMHSA-N	Unknown	Unknown	CC[C@](N)(CCC(=O)O)C(=O)O
824074	ZDCKRWIBMKUEAB-UHFFFAOYSA-N	Unknown	Unknown	CC(C)CC1(C=CCN1C(=O)c2ccccc2)C(=O)NCCc3c[nH]c4ccccc34
438869	BPJMXJHONGMQLC-UHFFFAOYSA-N	Unknown	Unknown	C(c1ccc(cc1)c2cocc2)n3ccnc3
824076	ALXRQBIDGDYTAV-UHFFFAOYSA-N	Unknown	Unknown	Cl.C(Nc1nc(nc2c1oc3ccccc23)c4ccccc4)c5occc5
438865	DGIBDVZRQHWQCX-UHFFFAOYSA-N	Unknown	Unknown	Cc1cscc1c2ccc(Cn3ccnc3)cc2
438864	CPEUHVZSVWFLMC-UHFFFAOYSA-N	Unknown	Unknown	CC(c1ccc(cc1)c2ccsc2)n3ccnc3
438863	JCRCIQARESXRFA-UHFFFAOYSA-N	Unknown	Unknown	CCC(c1ccc(cc1)c2ccsc2)n3ccnc3
820751	NIQTWPJYNIPLGQ-XHNLUEPASA-N	Unknown	Unknown	CO[C@H]1COC(=O)[C@H](C)NC(=O)[C@@H](C)COC(=O)[C@H]2CCCN2C(=O)C\C=C/[C@H]1C
125406	OPZKBPQVWDSATI-KHPPLWFESA-N	Achiral	No	CCCCCCCC\C=C/CCCCCCCC(=O)NCc1ccc(O)c(OC)c1
875003	IUJPBTCEBVYKQB-LFIBNONCSA-N	Unknown	Unknown	CCCC\C=C\C(NC(=O)CCc1ccccc1)c2ccccc2
913552	RUPQNAVADOVYKW-UHFFFAOYSA-N	Unknown	Unknown	Cc1ccc(cc1)S(=O)(=O)N2CCC(CC2)(C(=O)O)c3ccccc3
767213	QRLCLCSHNIFDFF-UHFFFAOYSA-N	Unknown	Unknown	CC(C)Cn1c(nc(c1S(=O)(=O)c2ccc(F)cc2)[N+](=O)[O-])C(C)C
1001905	LVQVEKLXWORDSL-UHFFFAOYSA-N	Unknown	Unknown	COC(=O)COc1ccc(Cl)cc1C2Nc3ccccc3C(=O)N2c4ccc(OC)cc4
829580	UNVGKKCQWNQWJO-UHFFFAOYSA-N	Unknown	Unknown	CC(NC(=O)CSC1=NC(=O)C=C(N)N1CCc2ccccc2)c3ccccc3
1005621	YLQNJKBADKOIQU-UHFFFAOYSA-N	Unknown	Unknown	CC1CCN(CC1)C(=O)CN(C)S(=O)(=O)c2cccc3nsnc23
1594470	GIPFZYIDTGSYHG-CXAYTTCISA-N	Unknown	Unknown	Fc1ccc2cc(CN3[C@@H]4CC[C@H]3C[C@@H](C4)NC(=O)c5ccccc5C(=O)N6CCCCCC6)ccc2c1
1594472	SBJLPUIBYIEHFY-PBROBROCSA-N	Unknown	Unknown	[O-][n+]1ccc(C(=O)N[C@@H]2C[C@H]3CC[C@@H](C2)N3Cc4ccc5cc(F)ccc5c4)c(c1)C(=O)N6CCCCC6
320508	HFBRNUKKUIGLMR-LBPRGKRZSA-N	Unknown	Unknown	C[C@H](Oc1cccc(Cc2c(C)[nH]c3ccc(OC(F)(F)F)cc23)c1)C(=O)O
1340446	FDFCUJXEBDRFSO-UHFFFAOYSA-M	Unknown	Unknown	[Na+].OC(=O)C(C(=O)[O-])P(=S)(S)c1ccccc1
1340445	INYCLMLYFIPQAU-UHFFFAOYSA-M	Unknown	Unknown	[Na+].OC(=C1S(=O)(=O)OCCOS1(=O)=O)CCC(=O)[O-]
920628	QKGDWQCLWRCJID-UHFFFAOYSA-N	Unknown	Unknown	Fc1ccc(CN2C(=O)C(=Nc3cncnc23)c4cc(F)cc(F)c4)cc1
871276	MKTQXJWTFMHXRG-UADVTRIOSA-N	Unknown	Unknown	COC(=O)[C@@]1(Cc2ccc(OC)cc2)[C@@H]3[C@H](CN1C(=O)c4ccccc4)Cc5c3cc(C(=O)N(C)C)n5Cc6ccc(Cl)c(c6)C(F)(F)F
1634369	LQGUERAXGXAYBG-UHFFFAOYSA-N	Unknown	Unknown	CC1=C(Sc2ccccc2)C(=O)N(N1)C(C)(C)C
501543	LAFOUUWSNUQMPK-UHFFFAOYSA-N	Unknown	Unknown	Cc1cccc(C)c1CNc2cc(cn3c(C)c(C)nc23)N4CCCCC4=O
462352	FBUBVLUPUDBFME-UHFFFAOYSA-N	Unknown	Unknown	COc1cc(O)c(C(=O)C)c(OC)c1
705092	NWINIEGDLHHNLH-UHFFFAOYSA-N	Unknown	Unknown	CC1=CC(=O)c2ccccc2N1
1263029	IEXQJJHEJSWUMW-UHFFFAOYSA-N	Unknown	Unknown	COc1cc(Nc2nc3C(CCCc3s2)c4ccccc4)ccc1C#N
1263028	SDURVYPKHDBFKT-UHFFFAOYSA-N	Unknown	Unknown	COc1cc(Nc2nc3C(CCCc3s2)c4ccccc4)ccc1c5sc(C)nc5C
939269	XQDIPTOVZTYJFM-VBJLPWRWSA-N	Unknown	Unknown	CCOC(=O)CCN1C(=O)[C@@H]2CC=C3[C@@H]([C@H](O)[C@@H]4O[C@@H]4C3=O)[C@H]2C1=O
501545	NMKSBEVTNZMDAE-UHFFFAOYSA-N	Unknown	Unknown	Cc1cccc(C)c1CNc2cc(cn3c(C)c(C)nc23)N4C=CC=CC4=O
907121	JSUAJTLKVREZHV-UHFFFAOYSA-N	Unknown	Unknown	C(C#CCN1CCCC1)N2CCCC2
1823126	YUMJYMLVVGYABE-UHFFFAOYSA-N	Unknown	Unknown	OC(Cn1cnnn1)(c2ccc(F)cc2F)C(F)(F)c3ccc(Cl)cn3
938794	WATWLKMHBUEMTE-ADXRZUIDSA-N	Unknown	Unknown	Cc1ccc(cc1)C(=O)[C@@H]2[C@H]3C4COC(O4)C(=O)[C@@H]3[C@H]5C=Cc6ccccc6N25
938795	ADYPXRFPBQGGAH-ITGAKCKCSA-N	Unknown	Unknown	CN1C[C@H](C[C@@H]2[C@@H]1Cc3c[nH]c4cccc2c34)C(=O)N[C@]5(C)O[C@]6(O)[C@H]7CCCN7C(=O)[C@H](Cc8ccccc8)N6C5=O.CS(=O)(=O)O
309640	FDEHVWXURCBTAP-UHFFFAOYSA-N	Unknown	Unknown	Oc1ccc2C(CC(Oc2c1)c3ccccc3)n4cncn4
1263026	PYFJTKHXSSJANR-UHFFFAOYSA-N	Unknown	Unknown	COc1cc(Nc2nc3C(CCCc3s2)c4ccccc4)ccc1c5cnn(C)c5
156650	XMAYWYJOQHXEEK-BVAGGSTKSA-N	Unknown	Unknown	CC(=O)N1CCN(CC1)c2ccc(OC[C@@H]3CO[C@@](Cn4ccnc4)(O3)c5ccc(Cl)cc5Cl)cc2
869830	HYXZFKYHXRVYIG-HBHOUVCGSA-N	Unknown	Unknown	CCN1C(=C(C(N2C(=O)[C@@](O)(C(C(=C12)C(=O)c3ccccc3)c4ccccc4)C(=O)OC)c5ccccc5)C(=O)OC)C
780002	KZCPDXZLFPOQIK-UHFFFAOYSA-N	Unknown	Unknown	COc1ccc(cc1)N2C(=O)C=Nc3cnc(nc23)N4CCN(C)CC4
1439042	GJJWKAPPVNNWLJ-UHFFFAOYSA-N	Unknown	Unknown	Clc1cccc(c1)c2cnccc2NC(=O)c3cnn4cccnc34
1439043	MHVVFDUISIWISF-UHFFFAOYSA-N	Unknown	Unknown	Cc1cc(NC(=O)c2cnn3cccnc23)c(cn1)c4cccc(Cl)c4
1439040	GRKVHVFMHBOEFZ-UHFFFAOYSA-N	Unknown	Unknown	CNc1ccn2ncc(C(=O)Nc3cc(C)nn3c4cccc(Cl)c4)c2n1
1439041	MQGLDOPILNOMIH-UHFFFAOYSA-N	Unknown	Unknown	Clc1cccc(c1)c2ncccc2NC(=O)c3cnn4cccnc34
792606	MKGMDJAGCRLJFL-UHFFFAOYSA-N	Unknown	Unknown	CCNC(=O)COC(=O)c1cc(O)nc2ccccc12
1439047	TTWJUJRTJUODCG-UHFFFAOYSA-N	Unknown	Unknown	Cn1cc(NC(=O)c2cnn3ccc(N)nc23)c(n1)c4cccc(Cl)c4
1439044	OSUIVZWZMLHYTB-UHFFFAOYSA-N	Unknown	Unknown	Cn1cc(c(NC(=O)c2cnn3cccnc23)n1)c4cccc(Cl)c4
1439045	QOQWGXFCUOWNQI-UHFFFAOYSA-N	Unknown	Unknown	Cn1cc(NC(=O)c2cnn3cccnc23)c(n1)c4cccc(Cl)c4
913308	HZFBXPDDUCZHGX-UHFFFAOYSA-N	Unknown	Unknown	[O-][N+](=O)c1ccc(c(c1)[N+](=O)[O-])S(=O)(=O)Cc2ccccc2
1439049	AAENIXAZGRAAII-UHFFFAOYSA-N	Unknown	Unknown	Nc1ccn2ncc(C(=O)Nc3cnoc3c4cccc(Cl)c4)c2n1
879803	RMYWIFBVKKWIIY-UHFFFAOYSA-N	Unknown	Unknown	Oc1cc(C(=O)N2CCC3(CC2)OCCO3)c4cc(Br)ccc4n1
380856	LSLYOANBFKQKPT-APPDUMDISA-N	Unknown	Unknown	C[C@@H](Cc1ccc(O)cc1)NC[C@@H](O)c2cc(O)cc(O)c2
1265636	TYIYIZHALYURIU-UHFFFAOYSA-N	Unknown	Unknown	COc1cccc(CNC(=O)c2c[nH]c3cc(ccc23)c4cn[nH]c4)c1
27616	GUJRSXAPGDDABA-NSHDSACASA-N	Single_Stereoisomer	No	CCN1CCC[C@H]1CNC(=O)c2c(OC)ccc(Br)c2OC
1353728	CYKYBWRSLLXBOW-VTBMCCKRSA-N	Unknown	Unknown	C[C@]12CC[C@H](O)C[C@@H]1CC[C@H]3[C@@H]4CC[C@H](C(=O)CO)[C@@]4(C)CC[C@H]23
27610	RONZAEMNMFQXRA-UHFFFAOYSA-N	Racemic	No	CN1CCN2C(C1)c3ccccc3Cc4cccnc24
