InChIKey Accession Rank(row)
JZQKKSLKJUAGIC-UHFFFAOYSA-N P54833 8
JZQKKSLKJUAGIC-UHFFFAOYSA-N P31645 9
JZQKKSLKJUAGIC-UHFFFAOYSA-N Q28044 10
JZRWCGZRTZMZEH-UHFFFAOYSA-N Q92847 4
JZRWCGZRTZMZEH-UHFFFAOYSA-N P31645 8
KBUZBQVCBVDWKX-UHFFFAOYSA-N P31389 1
KBUZBQVCBVDWKX-UHFFFAOYSA-N P25021 4
KBUZBQVCBVDWKX-UHFFFAOYSA-N P21554 6
KBUZBQVCBVDWKX-UHFFFAOYSA-N P30547 10
KCLANYCVBBTKTO-UHFFFAOYSA-N P21397 1
KCXVZYZYPLLWCC-UHFFFAOYSA-N Q92847 7
KHOITXIGCFIULA-UHFFFAOYSA-N Q01959 1
KHOITXIGCFIULA-UHFFFAOYSA-N P41145 2
KHOITXIGCFIULA-UHFFFAOYSA-N P23975 6
KHOITXIGCFIULA-UHFFFAOYSA-N P35372 7
KHOITXIGCFIULA-UHFFFAOYSA-N P41143 9
KHOITXIGCFIULA-UHFFFAOYSA-N P31389 10
KHPKQFYUPIUARC-UHFFFAOYSA-N P35354 1
KHPKQFYUPIUARC-UHFFFAOYSA-N Q05769 2
KHPKQFYUPIUARC-UHFFFAOYSA-N P23219 3
KHPKQFYUPIUARC-UHFFFAOYSA-N P22437 4
KHPKQFYUPIUARC-UHFFFAOYSA-N P35355 5
KHPKQFYUPIUARC-UHFFFAOYSA-N P05979 6
KHPKQFYUPIUARC-UHFFFAOYSA-N Q63921 7
KHPKQFYUPIUARC-UHFFFAOYSA-N O62664 10
KJHKTHWMRKYKJE-SUGCFTRWSA-N Q12809 1
KJHKTHWMRKYKJE-SUGCFTRWSA-N O08703 4
KJHKTHWMRKYKJE-SUGCFTRWSA-N Q14524 7
KKZJGLLVHKMTCM-UHFFFAOYSA-N P23975 1
KKZJGLLVHKMTCM-UHFFFAOYSA-N Q12809 4
KKZJGLLVHKMTCM-UHFFFAOYSA-N P11229 5
KKZJGLLVHKMTCM-UHFFFAOYSA-N P08172 8
KKZJGLLVHKMTCM-UHFFFAOYSA-N P28335 9
KLBQZWRITKRQQV-UHFFFAOYSA-N P20309 2
KLBQZWRITKRQQV-UHFFFAOYSA-N P23975 3
KLBQZWRITKRQQV-UHFFFAOYSA-N P31645 4
KLBQZWRITKRQQV-UHFFFAOYSA-N Q01959 5
KLBQZWRITKRQQV-UHFFFAOYSA-N Q12809 7
KLBQZWRITKRQQV-UHFFFAOYSA-N P41145 8
KLBQZWRITKRQQV-UHFFFAOYSA-N P11229 9
KPHWPUGNDIVLNH-UHFFFAOYSA-M P79208 2
KPHWPUGNDIVLNH-UHFFFAOYSA-M P05979 3
KPHWPUGNDIVLNH-UHFFFAOYSA-M P23219 4
KPHWPUGNDIVLNH-UHFFFAOYSA-M P35354 5
KPHWPUGNDIVLNH-UHFFFAOYSA-M Q05769 7
KPHWPUGNDIVLNH-UHFFFAOYSA-M P35355 8
KPHWPUGNDIVLNH-UHFFFAOYSA-M Q63921 9
KPYSYYIEGFHWSV-UHFFFAOYSA-N P41144 2
KPYSYYIEGFHWSV-UHFFFAOYSA-N P33534 9
KPYSYYIEGFHWSV-UHFFFAOYSA-N P63079 10
KQKPFRSPSRPDEB-UHFFFAOYSA-N P19327 4
KQKPFRSPSRPDEB-UHFFFAOYSA-N P14842 5
KQKPFRSPSRPDEB-UHFFFAOYSA-N P08909 6
KQKPFRSPSRPDEB-UHFFFAOYSA-N P30994 7
KRMDCWKBEZIMAB-UHFFFAOYSA-N P20309 2
KRMDCWKBEZIMAB-UHFFFAOYSA-N P23975 3
KRMDCWKBEZIMAB-UHFFFAOYSA-N P31645 4
KRMDCWKBEZIMAB-UHFFFAOYSA-N Q01959 5
KRMDCWKBEZIMAB-UHFFFAOYSA-N Q12809 6
KRMDCWKBEZIMAB-UHFFFAOYSA-N P11229 7
KRMDCWKBEZIMAB-UHFFFAOYSA-N P08172 10
KTUFNOKKBVMGRW-UHFFFAOYSA-N P31645 1
KUCQYCKVKVOKAY-CTYIDZIISA-N Q14432 6
KUCQYCKVKVOKAY-CTYIDZIISA-N Q13370 8
KUVIULQEHSCUHY-XYWKZLDCSA-N P04150 2
KUVIULQEHSCUHY-XYWKZLDCSA-N P06401 4
KUVIULQEHSCUHY-XYWKZLDCSA-N P06536 5
KUVIULQEHSCUHY-XYWKZLDCSA-N P15207 7
KUVIULQEHSCUHY-XYWKZLDCSA-N P10275 9
KUVIULQEHSCUHY-XYWKZLDCSA-N P20309 10
KVWDHTXUZHCGIO-UHFFFAOYSA-N P20309 2
KVWDHTXUZHCGIO-UHFFFAOYSA-N P31645 3
KVWDHTXUZHCGIO-UHFFFAOYSA-N Q12809 5
KVWDHTXUZHCGIO-UHFFFAOYSA-N P28223 7
KVWDHTXUZHCGIO-UHFFFAOYSA-N P28335 8
KVWDHTXUZHCGIO-UHFFFAOYSA-N P08913 9
KVWDHTXUZHCGIO-UHFFFAOYSA-N P14416 10
KWTSXDURSIMDCE-QMMMGPOBSA-N P23975 1
KWTSXDURSIMDCE-QMMMGPOBSA-N P31645 2
KWTSXDURSIMDCE-QMMMGPOBSA-N Q01959 3
KWTSXDURSIMDCE-QMMMGPOBSA-N P23977 4
KWTSXDURSIMDCE-QMMMGPOBSA-N P31652 5
KWTSXDURSIMDCE-QMMMGPOBSA-N Q9MYX0 6
KWTSXDURSIMDCE-QMMMGPOBSA-N Q9GJT6 8
KWTSXDURSIMDCE-UHFFFAOYSA-N P23977 1
KWTSXDURSIMDCE-UHFFFAOYSA-N O55192 2
KWTSXDURSIMDCE-UHFFFAOYSA-N Q60857 3
KWTSXDURSIMDCE-UHFFFAOYSA-N P31652 5
KWTSXDURSIMDCE-UHFFFAOYSA-N Q9MYX0 6
KWTSXDURSIMDCE-UHFFFAOYSA-N Q01959 7
KWTSXDURSIMDCE-UHFFFAOYSA-N P23975 9
KYYIDSXMWOZKMP-UHFFFAOYSA-N P23975 1
KYYIDSXMWOZKMP-UHFFFAOYSA-N P31645 2
KYYIDSXMWOZKMP-UHFFFAOYSA-N Q01959 3
KYYIDSXMWOZKMP-UHFFFAOYSA-N P31652 4
KYYIDSXMWOZKMP-UHFFFAOYSA-N Q00960 5
KYYIDSXMWOZKMP-UHFFFAOYSA-N P23977 6
KYYIDSXMWOZKMP-UHFFFAOYSA-N O55192 7
LEBVLXFERQHONN-INIZCTEOSA-N Q12809 1
LEZWWPYKPKIXLL-UHFFFAOYSA-N P20309 1
LEZWWPYKPKIXLL-UHFFFAOYSA-N P23975 2
LEZWWPYKPKIXLL-UHFFFAOYSA-N P31645 3
LEZWWPYKPKIXLL-UHFFFAOYSA-N Q01959 4
LEZWWPYKPKIXLL-UHFFFAOYSA-N P35372 7
LEZWWPYKPKIXLL-UHFFFAOYSA-N P41145 8
LEZWWPYKPKIXLL-UHFFFAOYSA-N P11229 9
LKJPYSCBVHEWIU-UHFFFAOYSA-N P10275 1
LKJPYSCBVHEWIU-UHFFFAOYSA-N P15207 2
LKJPYSCBVHEWIU-UHFFFAOYSA-N P19091 3
LKJPYSCBVHEWIU-UHFFFAOYSA-N P06186 4
LKJPYSCBVHEWIU-UHFFFAOYSA-N P34976 5
LNEPOXFFQSENCJ-UHFFFAOYSA-N P23975 2
LNEPOXFFQSENCJ-UHFFFAOYSA-N P31645 3
LNEPOXFFQSENCJ-UHFFFAOYSA-N Q12809 4
LNEPOXFFQSENCJ-UHFFFAOYSA-N P35372 5
LNEPOXFFQSENCJ-UHFFFAOYSA-N P11229 6
LNEPOXFFQSENCJ-UHFFFAOYSA-N P08909 7
LNEPOXFFQSENCJ-UHFFFAOYSA-N P14842 8
LNEPOXFFQSENCJ-UHFFFAOYSA-N P28223 9
LNEPOXFFQSENCJ-UHFFFAOYSA-N P28335 10
LOUPRKONTZGTKE-WZBLMQSHSA-N Q14524 10
LPMXVESGRSUGHW-HBYQJFLCSA-N P47746 6
LQCLVBQBTUVCEQ-QTFUVMRISA-N Q92847 5
LQOLIRLGBULYKD-JKIFEVAISA-N Q92847 1
LQOLIRLGBULYKD-JKIFEVAISA-N P25929 6
LQOLIRLGBULYKD-JKIFEVAISA-N P49146 7
LSLYOANBFKQKPT-UHFFFAOYSA-N Q8K4Z4 1
LSLYOANBFKQKPT-UHFFFAOYSA-N P07550 2
LSLYOANBFKQKPT-UHFFFAOYSA-N P08588 4
LSLYOANBFKQKPT-UHFFFAOYSA-N P13945 6
LSLYOANBFKQKPT-UHFFFAOYSA-N P54833 7
LSLYOANBFKQKPT-UHFFFAOYSA-N Q28044 8
LSLYOANBFKQKPT-UHFFFAOYSA-N P18090 9
LSLYOANBFKQKPT-UHFFFAOYSA-N P26255 10
LTXREWYXXSTFRX-QGZVFWFLSA-N Q12809 1
LTXREWYXXSTFRX-QGZVFWFLSA-N P11229 2
LTXREWYXXSTFRX-QGZVFWFLSA-N P20309 7
LTXREWYXXSTFRX-QGZVFWFLSA-N P08172 8
LUALIOATIOESLM-UHFFFAOYSA-N P35462 7
LUALIOATIOESLM-UHFFFAOYSA-N P14416 8
LUALIOATIOESLM-UHFFFAOYSA-N P35367 9
LUALIOATIOESLM-UHFFFAOYSA-N P21728 10
LUZRJRNZXALNLM-JGRZULCMSA-N P28223 3
LUZRJRNZXALNLM-JGRZULCMSA-N P28335 4
LUZRJRNZXALNLM-JGRZULCMSA-N P08913 5
LUZRJRNZXALNLM-JGRZULCMSA-N P14416 6
LUZRJRNZXALNLM-JGRZULCMSA-N P35462 7
LUZRJRNZXALNLM-JGRZULCMSA-N P18825 10
LXMSZDCAJNLERA-ZHYRCANASA-N P04150 1
LXMSZDCAJNLERA-ZHYRCANASA-N P06401 2
LXMSZDCAJNLERA-ZHYRCANASA-N Q92731 5
LXMSZDCAJNLERA-ZHYRCANASA-N P10275 6
LXMSZDCAJNLERA-ZHYRCANASA-N P03372 7
LXMSZDCAJNLERA-ZHYRCANASA-N P15207 8
MBGGBVCUIVRRBF-UHFFFAOYSA-N Q92847 3
MBUVEWMHONZEQD-UHFFFAOYSA-N Q12809 1
MBUVEWMHONZEQD-UHFFFAOYSA-N Q9Y5N1 3
MBUVEWMHONZEQD-UHFFFAOYSA-N O08703 4
MBUVEWMHONZEQD-UHFFFAOYSA-N Q9QYN8 8
MBUVEWMHONZEQD-UHFFFAOYSA-N Q14524 9
MBUVEWMHONZEQD-UHFFFAOYSA-N P25021 10
MDKGKXOCJGEUJW-UHFFFAOYSA-N P35354 1
MDKGKXOCJGEUJW-UHFFFAOYSA-N P23219 2
MDKGKXOCJGEUJW-UHFFFAOYSA-N P05979 3
MDKGKXOCJGEUJW-UHFFFAOYSA-N O62664 4
MDKGKXOCJGEUJW-UHFFFAOYSA-N Q05769 5
MDKGKXOCJGEUJW-UHFFFAOYSA-N P79208 6
MDKGKXOCJGEUJW-UHFFFAOYSA-N P35355 7
MDKGKXOCJGEUJW-UHFFFAOYSA-N Q63921 10
MEPNHSOMXMALDZ-UHFFFAOYSA-N Q00960 1
MEPNHSOMXMALDZ-UHFFFAOYSA-N P18090 2
MEPNHSOMXMALDZ-UHFFFAOYSA-N P54833 3
MEPNHSOMXMALDZ-UHFFFAOYSA-N P10608 4
MEPNHSOMXMALDZ-UHFFFAOYSA-N P26255 5
MEPNHSOMXMALDZ-UHFFFAOYSA-N P43140 7
MEPNHSOMXMALDZ-UHFFFAOYSA-N Q9QYN8 8
MEPNHSOMXMALDZ-UHFFFAOYSA-N P47747 10
METKIMKYRPQLGS-UHFFFAOYSA-N P07550 1
METKIMKYRPQLGS-UHFFFAOYSA-N P08588 2
METKIMKYRPQLGS-UHFFFAOYSA-N P13945 5
METKIMKYRPQLGS-UHFFFAOYSA-N Q8K4Z4 6
METKIMKYRPQLGS-UHFFFAOYSA-N P54833 7
METKIMKYRPQLGS-UHFFFAOYSA-N P18090 8
METKIMKYRPQLGS-UHFFFAOYSA-N Q28044 9
METKIMKYRPQLGS-UHFFFAOYSA-N P26255 10
MFFMDFFZMYYVKS-SECBINFHSA-N P11229 10
MFWNKCLOYSRHCJ-UHFFFAOYSA-N Q12809 1
MJFJKKXQDNNUJF-UHFFFAOYSA-N P35367 4
MJFJKKXQDNNUJF-UHFFFAOYSA-N P20309 5
MJFJKKXQDNNUJF-UHFFFAOYSA-N P28335 6
MJFJKKXQDNNUJF-UHFFFAOYSA-N P28223 7
MJFJKKXQDNNUJF-UHFFFAOYSA-N P08172 10
MKXKFYHWDHIYRV-UHFFFAOYSA-N P10275 2
MKXKFYHWDHIYRV-UHFFFAOYSA-N P15207 3
MKXKFYHWDHIYRV-UHFFFAOYSA-N P34976 5
MKXKFYHWDHIYRV-UHFFFAOYSA-N P19091 6
MKXKFYHWDHIYRV-UHFFFAOYSA-N P06186 10
MKXZASYAUGDDCJ-NJAFHUGGSA-N P31645 1
MKXZASYAUGDDCJ-NJAFHUGGSA-N P41143 7
MKXZASYAUGDDCJ-NJAFHUGGSA-N P35372 10
MNDBXUUTURYVHR-UHFFFAOYSA-N Q08499 2
MNDBXUUTURYVHR-UHFFFAOYSA-N Q14432 3
MNJVRJDLRVPLFE-UHFFFAOYSA-N P35354 1
MNJVRJDLRVPLFE-UHFFFAOYSA-N P23219 3
MNJVRJDLRVPLFE-UHFFFAOYSA-N P05979 5
MNJVRJDLRVPLFE-UHFFFAOYSA-N Q05769 7
MNJVRJDLRVPLFE-UHFFFAOYSA-N O62664 8
MRBDMNSDAVCSSF-UHFFFAOYSA-N Q12809 1
MRBDMNSDAVCSSF-UHFFFAOYSA-N Q92731 3
MRBDMNSDAVCSSF-UHFFFAOYSA-N P28223 4
MRBDMNSDAVCSSF-UHFFFAOYSA-N P28335 5
MRBDMNSDAVCSSF-UHFFFAOYSA-N P08913 6
MRBDMNSDAVCSSF-UHFFFAOYSA-N P18825 9
MRBDMNSDAVCSSF-UHFFFAOYSA-N P41595 10
MUMGGOZAMZWBJJ-DYKIIFRCSA-N P04150 1
MUMGGOZAMZWBJJ-DYKIIFRCSA-N Q92731 2
MUMGGOZAMZWBJJ-DYKIIFRCSA-N P10275 3
MUMGGOZAMZWBJJ-DYKIIFRCSA-N P03372 4
MUMGGOZAMZWBJJ-DYKIIFRCSA-N P15207 5
MVWVFYHBGMAFLY-UHFFFAOYSA-N Q12809 1
MVWVFYHBGMAFLY-UHFFFAOYSA-N P28223 2
MVWVFYHBGMAFLY-UHFFFAOYSA-N P14416 3
MVWVFYHBGMAFLY-UHFFFAOYSA-N P31390 4
MVWVFYHBGMAFLY-UHFFFAOYSA-N P28335 5
MVWVFYHBGMAFLY-UHFFFAOYSA-N P35462 6
MVWVFYHBGMAFLY-UHFFFAOYSA-N P31652 7
MVWVFYHBGMAFLY-UHFFFAOYSA-N P21917 8
MVWVFYHBGMAFLY-UHFFFAOYSA-N P35367 9
MVWVFYHBGMAFLY-UHFFFAOYSA-N P21728 10
MWLSOWXNZPKENC-UHFFFAOYSA-N P79208 5
MWLSOWXNZPKENC-UHFFFAOYSA-N P05979 6
MYSWGUAQZAJSOK-UHFFFAOYSA-N Q12809 1
MYSWGUAQZAJSOK-UHFFFAOYSA-N Q70Z44 8
MYSWGUAQZAJSOK-UHFFFAOYSA-N Q8WXA8 9
MYSWGUAQZAJSOK-UHFFFAOYSA-N A5X5Y0 10
NCDNCNXCDXHOMX-XGKFQTDJSA-N P35372 2
NCDNCNXCDXHOMX-XGKFQTDJSA-N P41145 3
NCEXYHBECQHGNR-QZQOTICOSA-N P15207 6
NDAUXUAQIAJITI-UHFFFAOYSA-N P07550 1
NDAUXUAQIAJITI-UHFFFAOYSA-N Q8K4Z4 2
NDAUXUAQIAJITI-UHFFFAOYSA-N P08588 4
NDAUXUAQIAJITI-UHFFFAOYSA-N P13945 6
NDAUXUAQIAJITI-UHFFFAOYSA-N P54833 7
NDAUXUAQIAJITI-UHFFFAOYSA-N Q28044 8
NDAUXUAQIAJITI-UHFFFAOYSA-N P18090 9
NDAUXUAQIAJITI-UHFFFAOYSA-N P26255 10
NETZHAKZCGBWSS-CEDHKZHLSA-N P35372 1
NETZHAKZCGBWSS-CEDHKZHLSA-N P41145 2
NETZHAKZCGBWSS-CEDHKZHLSA-N P41143 3
NETZHAKZCGBWSS-CEDHKZHLSA-N P41144 4
NETZHAKZCGBWSS-CEDHKZHLSA-N P97266 5
NETZHAKZCGBWSS-CEDHKZHLSA-N P33535 6
NETZHAKZCGBWSS-CEDHKZHLSA-N P32300 7
NETZHAKZCGBWSS-CEDHKZHLSA-N P33534 8
NETZHAKZCGBWSS-CEDHKZHLSA-N P33533 9
NFDFQCUYFHCNBW-SCGPFSFSSA-N Q92847 4
NHUHCSRWZMLRLA-UHFFFAOYSA-N P25101 1
NHUHCSRWZMLRLA-UHFFFAOYSA-N P26684 3
NHUHCSRWZMLRLA-UHFFFAOYSA-N P24530 4
NHUHCSRWZMLRLA-UHFFFAOYSA-N P22909 5
NHUHCSRWZMLRLA-UHFFFAOYSA-N P19328 6
NHUHCSRWZMLRLA-UHFFFAOYSA-N P22086 7
NHUHCSRWZMLRLA-UHFFFAOYSA-N P30556 8
NHUHCSRWZMLRLA-UHFFFAOYSA-N P25104 9
NIJJYAXOARWZEE-UHFFFAOYSA-N Q92847 10
NKANXQFJJICGDU-QPLCGJKRSA-N P20309 3
NKANXQFJJICGDU-QPLCGJKRSA-N P23975 4
NKANXQFJJICGDU-QPLCGJKRSA-N P31645 5
NKANXQFJJICGDU-QPLCGJKRSA-N Q01959 6
NKANXQFJJICGDU-QPLCGJKRSA-N Q12809 8
NKANXQFJJICGDU-QPLCGJKRSA-N P35372 9
NKANXQFJJICGDU-QPLCGJKRSA-N P41145 10
NNYBQONXHNTVIJ-UHFFFAOYSA-N P35354 1
NNYBQONXHNTVIJ-UHFFFAOYSA-N P23219 2
NNYBQONXHNTVIJ-UHFFFAOYSA-N P05979 4
NNYBQONXHNTVIJ-UHFFFAOYSA-N Q05769 5
NNYBQONXHNTVIJ-UHFFFAOYSA-N O62664 6
NNYBQONXHNTVIJ-UHFFFAOYSA-N P35355 7
NNYBQONXHNTVIJ-UHFFFAOYSA-N Q63921 9
NNYBQONXHNTVIJ-UHFFFAOYSA-N P22437 10
NPUKDXXFDDZOKR-LLVKDONJSA-N P18507 1
NPUKDXXFDDZOKR-LLVKDONJSA-N P47869 2
NPUKDXXFDDZOKR-LLVKDONJSA-N P47870 3
NPUKDXXFDDZOKR-LLVKDONJSA-N P28472 6
NPUKDXXFDDZOKR-LLVKDONJSA-N P34903 7
NPUKDXXFDDZOKR-LLVKDONJSA-N P14867 8
NPUKDXXFDDZOKR-LLVKDONJSA-N P31644 9
NPUKDXXFDDZOKR-LLVKDONJSA-N P20237 10
NQDJXKOVJZTUJA-UHFFFAOYSA-N Q92847 2
NWIUTZDMDHAVTP-UHFFFAOYSA-N P07550 2
NWIUTZDMDHAVTP-UHFFFAOYSA-N P08588 3
NWIUTZDMDHAVTP-UHFFFAOYSA-N P13945 6
NWIUTZDMDHAVTP-UHFFFAOYSA-N Q8K4Z4 7
NWIUTZDMDHAVTP-UHFFFAOYSA-N P54833 8
NWIUTZDMDHAVTP-UHFFFAOYSA-N P18090 9
NWIUTZDMDHAVTP-UHFFFAOYSA-N Q00960 10
