InChIKey Accession Rank(row)
CTETYYAZBPJBHE-UHFFFAOYSA-N P35462 9
CTETYYAZBPJBHE-UHFFFAOYSA-N P18825 10
CURUTKGFNZGFSE-UHFFFAOYSA-N P20309 2
CURUTKGFNZGFSE-UHFFFAOYSA-N Q12809 3
CURUTKGFNZGFSE-UHFFFAOYSA-N P11229 4
CURUTKGFNZGFSE-UHFFFAOYSA-N P08172 6
CURUTKGFNZGFSE-UHFFFAOYSA-N P28223 7
CURUTKGFNZGFSE-UHFFFAOYSA-N P28335 8
CURUTKGFNZGFSE-UHFFFAOYSA-N P35462 10
CXOFVDLJLONNDW-UHFFFAOYSA-N Q14524 2
CYQFCXCEBYINGO-IAGOWNOFSA-N P21554 1
CYQFCXCEBYINGO-IAGOWNOFSA-N P20272 3
CYQFCXCEBYINGO-IAGOWNOFSA-N P47746 7
CYXKNKQEMFBLER-UHFFFAOYSA-N P20309 2
CYXKNKQEMFBLER-UHFFFAOYSA-N P23975 3
CYXKNKQEMFBLER-UHFFFAOYSA-N Q12809 5
CYXKNKQEMFBLER-UHFFFAOYSA-N P11229 6
CZFFBEXEKNGXKS-UHFFFAOYSA-N Q12809 1
CZFFBEXEKNGXKS-UHFFFAOYSA-N Q92847 7
DBABZHXKTCFAPX-UHFFFAOYSA-N P21731 9
DCOPUUMXTXDBNB-UHFFFAOYSA-N P35354 1
DCOPUUMXTXDBNB-UHFFFAOYSA-N P79208 2
DCOPUUMXTXDBNB-UHFFFAOYSA-N P05979 3
DCOPUUMXTXDBNB-UHFFFAOYSA-N P23219 4
DCOPUUMXTXDBNB-UHFFFAOYSA-N Q05769 5
DCOPUUMXTXDBNB-UHFFFAOYSA-N O62664 8
DCOPUUMXTXDBNB-UHFFFAOYSA-N P22437 10
DDLIGBOFAVUZHB-UHFFFAOYSA-N P34976 10
DDUHZTYCFQRHIY-RBHXEPJQSA-N Q92847 7
DERZBLKQOCDDDZ-JLHYYAGUSA-N P20309 2
DERZBLKQOCDDDZ-JLHYYAGUSA-N P23975 3
DERZBLKQOCDDDZ-JLHYYAGUSA-N P31645 4
DERZBLKQOCDDDZ-JLHYYAGUSA-N Q01959 5
DERZBLKQOCDDDZ-JLHYYAGUSA-N P35372 6
DERZBLKQOCDDDZ-JLHYYAGUSA-N P11229 7
DERZBLKQOCDDDZ-JLHYYAGUSA-N Q92731 8
DERZBLKQOCDDDZ-JLHYYAGUSA-N P28223 9
DERZBLKQOCDDDZ-JLHYYAGUSA-N P08913 10
DGBIGWXXNGSACT-UHFFFAOYSA-N O00591 1
DGBIGWXXNGSACT-UHFFFAOYSA-N O14764 2
DGBIGWXXNGSACT-UHFFFAOYSA-N P08219 3
DGBIGWXXNGSACT-UHFFFAOYSA-N P08220 4
DGBIGWXXNGSACT-UHFFFAOYSA-N P10063 5
DGBIGWXXNGSACT-UHFFFAOYSA-N P10064 6
DGBIGWXXNGSACT-UHFFFAOYSA-N P18505 7
DGBIGWXXNGSACT-UHFFFAOYSA-N P18507 8
DGBIGWXXNGSACT-UHFFFAOYSA-N P20237 9
DGBIGWXXNGSACT-UHFFFAOYSA-N P22300 10
DHMQDGOQFOQNFH-UHFFFAOYSA-N P28472 7
DHMQDGOQFOQNFH-UHFFFAOYSA-N P18507 8
DHMQDGOQFOQNFH-UHFFFAOYSA-N P47869 9
DHMQDGOQFOQNFH-UHFFFAOYSA-N P34903 10
DJBNUMBKLMJRSA-UHFFFAOYSA-N Q12809 1
DJBNUMBKLMJRSA-UHFFFAOYSA-N Q14524 3
DJDFFEBSKJCGHC-UHFFFAOYSA-N P20272 2
DJDFFEBSKJCGHC-UHFFFAOYSA-N P47746 5
DJDFFEBSKJCGHC-UHFFFAOYSA-N P08913 8
DJDFFEBSKJCGHC-UHFFFAOYSA-N P18089 9
DJDFFEBSKJCGHC-UHFFFAOYSA-N P18825 10
DKJJVAGXPKPDRL-UHFFFAOYSA-N Q14524 8
DKNWSYNQZKUICI-UHFFFAOYSA-N Q92847 9
DKYWVDODHFEZIM-UHFFFAOYSA-N P35354 1
DKYWVDODHFEZIM-UHFFFAOYSA-N P23219 2
DKYWVDODHFEZIM-UHFFFAOYSA-N Q05769 5
DKYWVDODHFEZIM-UHFFFAOYSA-N P05979 6
DKYWVDODHFEZIM-UHFFFAOYSA-N O62664 7
DKYWVDODHFEZIM-UHFFFAOYSA-N P22437 8
DKYWVDODHFEZIM-UHFFFAOYSA-N P35355 10
DLGOEMSEDOSKAD-UHFFFAOYSA-N Q08499 4
DMDGGSIALPNSEE-UHFFFAOYSA-N Q92847 9
DNXHEGUUPJUMQT-CBZIJGRNSA-N P31645 1
DNXHEGUUPJUMQT-CBZIJGRNSA-N Q92731 5
DNXHEGUUPJUMQT-CBZIJGRNSA-N P03372 7
DNXHEGUUPJUMQT-CBZIJGRNSA-N P15207 8
DNXHEGUUPJUMQT-CBZIJGRNSA-N P41595 9
DOMXUEMWDBAQBQ-WEVVVXLNSA-N P23975 1
DOMXUEMWDBAQBQ-WEVVVXLNSA-N P08913 3
DOMXUEMWDBAQBQ-WEVVVXLNSA-N Q01959 5
DOMXUEMWDBAQBQ-WEVVVXLNSA-N P31645 8
DOUYETYNHWVLEO-UHFFFAOYSA-N P29274 1
DOUYETYNHWVLEO-UHFFFAOYSA-N P25021 2
DOUYETYNHWVLEO-UHFFFAOYSA-N P30542 4
DOUYETYNHWVLEO-UHFFFAOYSA-N P35367 5
DOUYETYNHWVLEO-UHFFFAOYSA-N P08913 6
DOUYETYNHWVLEO-UHFFFAOYSA-N P25099 7
DOUYETYNHWVLEO-UHFFFAOYSA-N P18089 9
DOUYETYNHWVLEO-UHFFFAOYSA-N P18825 10
DPWPWRLQFGFJFI-UHFFFAOYSA-N P21397 1
DPWPWRLQFGFJFI-UHFFFAOYSA-N P21396 5
DQCKKXVULJGBQN-XFWGSAIBSA-N P35372 1
DQCKKXVULJGBQN-XFWGSAIBSA-N P41145 2
DQCKKXVULJGBQN-XFWGSAIBSA-N P33535 4
DQCKKXVULJGBQN-XFWGSAIBSA-N P41144 5
DQCKKXVULJGBQN-XFWGSAIBSA-N P41143 6
DQCKKXVULJGBQN-XFWGSAIBSA-N P97266 7
DQCKKXVULJGBQN-XFWGSAIBSA-N P32300 8
DQCKKXVULJGBQN-XFWGSAIBSA-N P33533 9
DQCKKXVULJGBQN-XFWGSAIBSA-N P33534 10
DTOSIQBPPRVQHS-PDBXOOCHSA-N P79208 1
DTOSIQBPPRVQHS-PDBXOOCHSA-N O62664 8
DTOSIQBPPRVQHS-PDBXOOCHSA-N P20272 10
DUGOZIWVEXMGBE-CHWSQXEVSA-N Q01959 1
DUGOZIWVEXMGBE-CHWSQXEVSA-N P23977 2
DUGOZIWVEXMGBE-CHWSQXEVSA-N P23975 3
DUGOZIWVEXMGBE-CHWSQXEVSA-N Q9MYX0 4
DUGOZIWVEXMGBE-CHWSQXEVSA-N P31645 5
DUGOZIWVEXMGBE-CHWSQXEVSA-N P31652 7
DUGOZIWVEXMGBE-CHWSQXEVSA-N Q9GJT6 8
DUGOZIWVEXMGBE-UHFFFAOYSA-N Q01959 1
DUGOZIWVEXMGBE-UHFFFAOYSA-N P23977 2
DUGOZIWVEXMGBE-UHFFFAOYSA-N P23975 3
DUGOZIWVEXMGBE-UHFFFAOYSA-N Q9MYX0 4
DUGOZIWVEXMGBE-UHFFFAOYSA-N P31645 5
DUGOZIWVEXMGBE-UHFFFAOYSA-N P31652 7
DUGOZIWVEXMGBE-UHFFFAOYSA-N Q9GJT6 8
DWKVCQXJYURSIQ-UHFFFAOYSA-N P20309 5
DWKVCQXJYURSIQ-UHFFFAOYSA-N P28335 6
DWKVCQXJYURSIQ-UHFFFAOYSA-N P28223 7
DWKVCQXJYURSIQ-UHFFFAOYSA-N P35372 8
DWKVCQXJYURSIQ-UHFFFAOYSA-N P32245 9
DWKVCQXJYURSIQ-UHFFFAOYSA-N P08172 10
DZZWHBIBMUVIIW-DTORHVGOSA-N Q12809 1
FABPRXSRWADJSP-MEDUHNTESA-N Q12809 1
FABPRXSRWADJSP-MEDUHNTESA-N Q70Z44 6
FABPRXSRWADJSP-MEDUHNTESA-N Q8WXA8 7
FABPRXSRWADJSP-MEDUHNTESA-N A5X5Y0 8
FABPRXSRWADJSP-MEDUHNTESA-N O95264 9
FABPRXSRWADJSP-MEDUHNTESA-N P35563 10
FAIIFDPAEUKBEP-UHFFFAOYSA-N P27732 2
FAIIFDPAEUKBEP-UHFFFAOYSA-N P15381 3
FAIIFDPAEUKBEP-UHFFFAOYSA-N P22002 5
FAIIFDPAEUKBEP-UHFFFAOYSA-N Q02294 6
FAIIFDPAEUKBEP-UHFFFAOYSA-N Q13936 7
FAIIFDPAEUKBEP-UHFFFAOYSA-N Q01668 8
FAIIFDPAEUKBEP-UHFFFAOYSA-N Q00975 9
FAIIFDPAEUKBEP-UHFFFAOYSA-N O60840 10
FAOZLTXFLGPHNG-KNAQIMQKSA-N P04150 1
FAOZLTXFLGPHNG-KNAQIMQKSA-N P15207 2
FAOZLTXFLGPHNG-KNAQIMQKSA-N P34976 3
FAOZLTXFLGPHNG-KNAQIMQKSA-N P10275 4
FAOZLTXFLGPHNG-KNAQIMQKSA-N P06536 6
FAOZLTXFLGPHNG-KNAQIMQKSA-N P19091 9
FASDKYOPVNHBLU-ZETCQYMHSA-N P14416 1
FASDKYOPVNHBLU-ZETCQYMHSA-N P19020 2
FASDKYOPVNHBLU-ZETCQYMHSA-N P61169 3
FASDKYOPVNHBLU-ZETCQYMHSA-N P18901 4
FASDKYOPVNHBLU-ZETCQYMHSA-N P35462 5
FASDKYOPVNHBLU-ZETCQYMHSA-N P20288 6
FASDKYOPVNHBLU-ZETCQYMHSA-N P21917 7
FASDKYOPVNHBLU-ZETCQYMHSA-N P21728 8
FASDKYOPVNHBLU-ZETCQYMHSA-N P30729 9
FEBLZLNTKCEFIT-VSXGLTOVSA-N P04150 1
FEBLZLNTKCEFIT-VSXGLTOVSA-N P06536 3
FEBLZLNTKCEFIT-VSXGLTOVSA-N P06401 4
FEBLZLNTKCEFIT-VSXGLTOVSA-N P15207 6
FEBLZLNTKCEFIT-VSXGLTOVSA-N P10275 8
FEBLZLNTKCEFIT-VSXGLTOVSA-N P34976 9
FELGMEQIXOGIFQ-UHFFFAOYSA-N Q05941 1
FELGMEQIXOGIFQ-UHFFFAOYSA-N Q12809 2
FELGMEQIXOGIFQ-UHFFFAOYSA-N P31652 3
FELGMEQIXOGIFQ-UHFFFAOYSA-N P41595 5
FELGMEQIXOGIFQ-UHFFFAOYSA-N P46098 9
FELGMEQIXOGIFQ-UHFFFAOYSA-N P35563 10
FGXWKSZFVQUSTL-UHFFFAOYSA-N P23975 1
FGXWKSZFVQUSTL-UHFFFAOYSA-N P31645 2
FGXWKSZFVQUSTL-UHFFFAOYSA-N Q12809 3
FGXWKSZFVQUSTL-UHFFFAOYSA-N P35372 4
FGXWKSZFVQUSTL-UHFFFAOYSA-N P41145 5
FGXWKSZFVQUSTL-UHFFFAOYSA-N P28223 6
FGXWKSZFVQUSTL-UHFFFAOYSA-N P28335 7
FGXWKSZFVQUSTL-UHFFFAOYSA-N P08913 8
FGXWKSZFVQUSTL-UHFFFAOYSA-N P14416 9
FGXWKSZFVQUSTL-UHFFFAOYSA-N P35462 10
FMHHVULEAZTJMA-UHFFFAOYSA-N P21397 1
