ACFYXKKOCHLEBU-UHFFFAOYSA-O	Cc1ccc(cc1)CN1CC[NH+](CC1)Cc1ccc2c(c1)OCO2
ACGBFWCBVIXTPZ-OQIWPSSASA-N	CO[C@@H]1CC[C@H](CC1)C(=O)Nc2cc(ccn2)c3ccnc(Nc4ccc(F)cc4)c3
ACGKZTTVUAVCNN-DJKKODMXSA-N	CCn1c(C)nc2cc(ccc12)C(=O)N\N=C\c3ccc(O)c(O)c3O
ACGXEHCYMVMMDU-ZPVUCFGCSA-N	CNS(=O)(=O)c1ccc2OC(CCc2c1)C(=O)N(C)[C@H](CN3CC[C@H](O)C3)c4ccccc4
ACGZLYSAITUWCA-UHFFFAOYSA-N	COc1ccc(CCCC(=O)N2CCN(CC2c3ccccc3)\C(=N\C#N)\Nc4ccccc4C)cc1OC
ACHAGBFZZOHGJZ-UHFFFAOYSA-N	Fc1ccc(cc1)C(NC(=O)CC2CCN(Cc3ccn(c3)c4ccc(cc4)C(F)(F)F)CC2)C5=CNC(=O)C(=C5)Cl
ACIAOTYWHUSEBZ-AWKYBWMHSA-N	CC(O)c1cc(cc2c3CC[C@H](CC(=O)O)c3n(Cc4ccc(Cl)cc4)c12)S(=O)(=O)C
ACIJKSZKWJVCPE-UHFFFAOYSA-N	CCCCC1=NN(C(=O)N1Cc2ccc(cc2)c3ccccc3S(=O)(=O)NC(=O)C(F)(F)F)c4ccccc4Cl
ACIMELNVMJNHRK-UHFFFAOYSA-N	CC(=O)N1CCN(CC1)c2ccc(OCc3cc4cnc(nc4n3CCC5CCCCC5)C#N)cc2F
ACIMRXKJKQGBGL-UHFFFAOYSA-O	[NH3+]CCNS(=O)(=O)c1cccc2c1cccc2Cl
ACRDNASHOTUMTR-UHFFFAOYSA-N	[O-][N+](=O)c1ccc(Oc2cccc(c2)C(=O)N3CCCCC3)c(Cl)c1
ACRQLRWDJMXCIY-UHFFFAOYSA-N	CCN(c1ccc(cc1)Nc1ccc(cc1)CC(=O)c1ccccc1)CC
ACSHHJKLILVPFO-UHFFFAOYSA-N	COc1ccc(NCc2c[nH]cn2)c(c1)C(=O)NC3CCN(Cc4ccc5OCOc5c4)CC3
ACSJGOJPLODBLW-MDMXATFFSA-N	COc1ccccc1[C@H]2COC3(CCCNC3c4ccccc4)C2
ACSLPPUKFQXILW-UHFFFAOYSA-N	CCNC(=O)N1CCCN(CC1)c2ccc(cc2NC(=O)c3cccc(Cl)c3)C(=O)NCCc4ccc(F)cc4
ACTCIZNGYQFLMA-UHFFFAOYSA-N	ONC(=S)CCCCCCC(=O)Nc1ccccc1
ACVXRXJQYWHUND-UHFFFAOYSA-O	Cc1cccc(c1)OCC[NH2+]CCCOc1ccccc1
ACZWIDANLCXHBM-PCKAHOCUSA-L	COCCOC[C@@H](C(=O)[O-])CC1(CCCC1)C(=O)NC1CCC(CC1)C(=O)[O-]
ACZXUEYRPYGYKP-OPVJXMOQSA-N	NC(=O)c1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3CC(=O)Nc4ccccc4)c1
ADANYDBBSQBDMY-UHFFFAOYSA-N	Clc1ccc(NC(=O)c2ccccc2Cn3cc(cn3)c4ccncc4)cc1
ADBMUKYDRHZIQJ-RBTNQOKQSA-N	CN1C(=O)N(C(=O)[C@]12CN(C[C@H]2c3ccc(cc3)C#N)c4oc5ccc(cc5n4)C(=O)O)c6cc(Cl)cc(Cl)c6
ADBXTCIYDGSICL-UHFFFAOYSA-N	Oc1ccc2c(c1)c3c4C(=O)NC(=O)c4c(cc3n2CCS(=O)(=O)c5nnc[nH]5)c6ccccc6Cl
ADCADUHNSKXDGZ-UHFFFAOYSA-N	CCn1ncc2c(nc(nc12)c3ccc(NC(=O)Nc4ccccc4)cc3)N5CC6CCC(C5)O6
ADCFWPUIUIMSJH-UHFFFAOYSA-N	CC(=O)Oc1cccc(c1C)[N+](C)(C)C
