Standard_InChI_Key, UniProt_Accession, Ambiguity, Count_below10uM, Count_over10uM, max_IC50, min_IC50
AZAUZIIJMGBZFF-UHFFFAOYSA-N, P09917, Ambiguous_byMajorityVote, 1, 1, 30000.0, 8800.0
AZGOVLGMSGAOMP-FZYUQVBKSA-N, P21397, Active_tentative, 2, 1, 10017.0, 35.0
AZGZZCSYRASLDM-MLPAPPSSSA-N, P31421, Ambiguous_byMajorityVote, 1, 1, 11500.0, 6000.0
AZLSXDRFOWQWMJ-UHFFFAOYSA-N, Q9GZR1, Ambiguous_byMajorityVote, 2, 2, 100000.0, 2830.0
AZLSXDRFOWQWMJ-UHFFFAOYSA-N, P42574, Ambiguous_byMajorityVote, 2, 2, 10500.0, 3280.0
AZQHKULVKXKJLP-UHFFFAOYSA-N, P65502, Ambiguous_byMajorityVote, 1, 1, 22700.0, 9010.0
AZUHLFTZJBNYAH-UHFFFAOYSA-N, P49327, Ambiguous_byMajorityVote, 1, 1, 13300.0, 7390.0
AZXCXDZLLRZTNC-UHFFFAOYSA-N, P41145, Ambiguous_byMajorityVote, 1, 1, 20000.0, 2030.0
BAKONHLLIOUFIF-UHFFFAOYSA-N, O14727, Ambiguous_byMajorityVote, 1, 1, 100000.0, 1310.0
BBCDVTQRQLUUFI-LIONHTAISA-N, Q96LD8, Ambiguous_byMajorityVote, 1, 1, 16700.0, 3720.0
BBLNIRABOLSWIT-UHFFFAOYSA-N, P11229, Ambiguous_byMajorityVote, 1, 1, 44668.36, 1905.46
BBOIFOBVWJBYCF-PLOBCEGZSA-N, P41145, Ambiguous_byMajorityVote, 1, 1, 32000.0, 8280.0
BBRMKSTVHDPHOJ-SFQUDFHCSA-N, Q92731, Ambiguous_byMajorityVote, 1, 1, 16533.0, 4689.44
BBXXJKHZFAFARR-UHFFFAOYSA-N, P41145, Ambiguous_byMajorityVote, 2, 2, 11507.0, 2890.0
BBXXJKHZFAFARR-UHFFFAOYSA-N, P49327, Ambiguous_byMajorityVote, 2, 2, 14600.0, 7450.0
BCEHBSKCWLPMDN-MGPLVRAMSA-N, P20813, Active_tentative, 5, 2, 17500.0, 790.0
BCFGMOOMADDAQU-UHFFFAOYSA-N, P08069, Ambiguous_byMajorityVote, 1, 1, 30000.0, 10000.0
BCMSOKKQWPEPDS-UHFFFAOYSA-N, P09960, Ambiguous_byMajorityVote, 1, 1, 100000.0, 6800.0
BCNKEBQQBXYCHE-UHFFFAOYSA-N, O86309, Ambiguous_byMajorityVote, 1, 1, 17700.0, 9400.0
BCQKLGVGCVHQQH-UHFFFAOYSA-N, P63165, Ambiguous_byMajorityVote, 1, 1, 66600.0, 9680.0
BCSVCWVQNOXFGL-UHFFFAOYSA-N, P14550, Ambiguous_byMajorityVote, 1, 1, 38600.0, 2700.0
BDMKQYJFAWVQOA-UHFFFAOYSA-N, P41145, Ambiguous_byMajorityVote, 1, 1, 32000.0, 6830.0
BDTOFQRFWAVKKB-UHFFFAOYSA-N, P63165, Ambiguous_byMajorityVote, 1, 1, 66600.0, 8200.0
BDUHCSBCVGXTJM-WUFINQPMSA-N, Q00987, Ambiguous_MaxIC50_too_high, 17, 2, 60000.0, 10.0
BECROBIDPQYXRW-UHFFFAOYSA-N, Q14524, Active_tentative, 2, 1, 18000.0, 730.0
BEDOWVBPFLCOBB-UHFFFAOYSA-N, Q92731, Ambiguous_byMajorityVote, 1, 1, 50000.0, 55.18
