BHAXDAUULXCVEK-UHFFFAOYSA-N	O60885
BHEBFNOMPOLHMJ-UHFFFAOYSA-N	Q96LD8
BHPQQTACMHYMAH-WZUFQYTHSA-N	Q8R455
BHRJLUKNGZIPRN-UHFFFAOYSA-N	P87108
BHUZLJOUHMBZQY-YXQOSMAKSA-N	P56524
BHXISYYBPBULKV-GUDVDZBRSA-N	P56524
BIAWVZMEBADAPM-MJFWUJRASA-N	P98170
BIAWVZMEBADAPM-MJFWUJRASA-N	Q13490
BIAYVBTUMYRJBI-UHFFFAOYSA-N	P39086
BIEZSEGUHJMPKG-FPLPWBNLSA-N	P08487
BIMZLRFONYSTPT-UHFFFAOYSA-N	Q9GZT9
BIOQSDHKVYJUHX-UHFFFAOYSA-N	P35236
BIOYSHGCYYKKQU-UHFFFAOYSA-N	Q92731
BIVPHUOIFUDUSK-UHFFFAOYSA-N	P0C6X7
BIWGYFZAEWGBAL-UHFFFAOYSA-N	P24666
BIWQNIMLAISTBV-UHFFFAOYSA-N	P06858
BJFPPILHFRTJTD-UHFFFAOYSA-N	O14727
BJIVLGIZOMJQRT-GXDHUFHOSA-N	P42330
BJQBEJYZFPIBCQ-SAPNQHFASA-N	P87108
BJQYDOFYUOVBNL-UHFFFAOYSA-N	P11940
BJRPPNOJYFZSLY-UHFFFAOYSA-N	Q16665
BJXRNPXUTJVEQG-SKCUWOTOSA-N	P51681
BKAPQHUNEAUVSH-UHFFFAOYSA-N	Q92731
BKGOEQARIFRUQI-UHFFFAOYSA-N	P63165
BKLCLPKXFLEDSN-UHFFFAOYSA-N	P61088
BKPQPETVXVHRTI-UHFFFAOYSA-N	P24666
BKTLPRDPOOMNNI-UHFFFAOYSA-N	P49327
BKZDAHHUBCFASF-UHFFFAOYSA-N	P65502
BLCWNIGSFBOPQU-UHFFFAOYSA-N	Q96LD8
BLCZKTYVLGECAW-UHFFFAOYSA-N	Q9P0U3
BLGKGVMDNWKDHK-RUZDIDTESA-N	P11597
BLGNYUIODLVIML-UHFFFAOYSA-N	Q92731
BLSFZWWBJCEZAP-UHFFFAOYSA-N	P09917
BMBUNRAVRJCKBO-UHFFFAOYSA-N	P08684
BMHKZVDHCKLDME-MDZDMXLPSA-N	O14727
BMHSALXAHKMLCM-UHFFFAOYSA-N	P87108
