InChIKey	SMILES	Name	Synonyms
DUBMDYQWHSIBPD-FBESYSLLSA-N	C[C@@H]([C@@H](C(=O)NCc1ccc(cc1)I)O)NC(=O)[C@H](CC(=O)n2cccc2)NC(=O)[C@H](C(C)(C)C)NC(=O)CC(C)(C)C	(2S)-2-(3,3-dimethylbutanoylamino)-N-[(2S)-1-[[(2S,3S)-3-hydroxy-4-[(4-iodophenyl)methylamino]-4-oxo-butan-2-yl]amino]-1,4-dioxo-4-pyrrol-1-yl-butan-2-yl]-3,3-dimethyl-butanamide	BILC 821
CQDGTJPVBWZJAZ-UHFFFAOYSA-N	CCOC(=O)O	ethyl hydrogen carbonate	
YYAPYNUGMUZNGD-WOUKDFQISA-N	C1COCCN1c2nc3c(n2[C@H]4[C@@H]([C@@H]([C@H](O4)CO[P@](=O)(O)O[P@](=O)(O)OP(=O)(O)O)O)O)N=C(NC3=O)N	8-morpholin-4-ylguanosine 5'-(tetrahydrogen triphosphate)	
IPFSIVVOJSEJOL-UHFFFAOYSA-N	c1cc2c(cc(o2)C(=O)O)c3c1cc4cc(oc4c3)C(=O)O	naphtho[2,1-b:7,6-b']difuran-2,8-dicarboxylic acid	
YGZKIOPJGFQDSR-VLHHDIFDSA-N	CC(=O)N[C@H](CCCCNC(=O)CSCCNC(=O)CCNC(=O)[C@@H](C(C)(C)CO[P@@](=O)(O)O[P@](=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)n2cnc3c2ncnc3N)O)OP(=O)(O)O)O)C(=O)N	[(2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-4-hydroxy-3-(phosphonooxy)tetrahydrofuran-2-yl]methyl (3R,20R)-20-carbamoyl-3-hydroxy-2,2-dimethyl-4,8,14,22-tetraoxo-12-thia-5,9,15,21-tetraazatricos-1-yl dihydrogen diphosphate	Lysine-COENZYME A derivative
LNEPMZDEABTAPY-UHFFFAOYSA-N	COc1cc(ccc1N2CCOCC2)Nc3nccc(n3)Nc4cc5ccccc5nc4	N~2~-[3-methoxy-4-(morpholin-4-yl)phenyl]-N~4~-(quinolin-3-yl)pyrimidine-2,4-diamine	None
HQVOROHHYWZJLD-UHFFFAOYSA-N	CCc1c(c(c(c(n1)CC(C)(C)C)CN)c2ccc(cc2)C)CC(=O)O	[5-(aminomethyl)-6-(2,2-dimethylpropyl)-2-ethyl-4-(4-methylphenyl)pyridin-3-yl]acetic acid	TAK-100
RLLQMCBJNDRXGR-UHFFFAOYSA-N	c1cc(oc1)CNc2ccc(cc2[N+](=O)[O-])C(F)(F)F	N-(furan-2-ylmethyl)-2-nitro-4-(trifluoromethyl)aniline	
YVPGZQLRPAGKLA-UHFFFAOYSA-N	Cc1cc(ccc1n2c(ccc2c3ccc(cc3)n4ccnc4)CCC(=O)O)C(=O)N	3-{1-(4-carbamoyl-2-methylphenyl)-5-[4-(1H-imidazol-1-yl)phenyl]-1H-pyrrol-2-yl}propanoic acid	N6022
GHVMTHKJUAOZJP-CGTJXYLNSA-N	C[C@@H]([C@@H](CCCc1ccccc1)C(=O)N[C@H](C(=O)NC)C(C)(C)C)N(C=O)O	N^2^-[(2R)-2-{(1S)-1-[FORMYL(HYDROXY)AMINO]ETHYL}-5-PHENYLPENTANOYL]-N,3-DIMETHYL-L-VALINAMIDE	
