InChIKey	SMILES	Name	Synonyms
TYGJUQYJMIOZLZ-HXSKNMNHSA-N	CCCCCCC\C=C\C=C\C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@H]1C[C@H](CCNC(=O)C=C[C@@H](NC1=O)C)O	(2E,4E)-N-[(2S,3R)-3-hydroxy-1-[[(3Z,5S,8S,10S)-10-hydroxy-5-methyl-2,7-dioxo-1,6-diazacyclododec-3-en-8-yl]amino]-1-oxobutan-2-yl]dodeca-2,4-dienamide	Glidobactin A
HSCJRCZFDFQWRP-ABVWGUQPSA-N	C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO[P@@](=O)(O)O[P@@](=O)(O)O[C@@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)O)O)O)O	GALACTOSE-URIDINE-5'-DIPHOSPHATE	UDP-D-GALACTOPYRANOSE
WWSQBPPKQTUEDT-KBUPBQIOSA-O	CC(=O)N[C@H]1c2[nH]c(c[n+]2[C@@H]([C@H]([C@@H]1O)O)CO)C(=O)Nc3ccccc3	(5R,6R,7R,8S)-8-(ACETYLAMINO)-6,7-DIHYDROXY-5-(HYDROXYMETHYL)-N-PHENYL-1,5,6,7,8,8A-HEXAHYDROIMIDAZO[1,2-A]PYRIDINE-2-CARBOXAMIDE	
DNBSDUDYNPJVCN-ZXTXFPBHSA-N	c1nc2c(n1[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@](=O)(O)O[P@@](=O)(O)O[C@@H]4[C@H]([C@H]([C@@H]([C@H](O4)C(=O)O)O)O)O)O)O)N=C(NC2=O)N	GUANOSINE 5'-(TRIHYDROGEN DIPHOSPHATE), P'-D-MANNOPYRANOSYL ESTER	
FGFITZOBEYBNGG-JKUQZMGJSA-N	C1C[C@H]([C@H](O[C@@H]1CN)O)N	3,4-DIDEOXY-2,6-AMINO-ALPHA-D GALACTOPYRANOSE	
ORKQZIAHTZABIG-FPFOFBBKSA-N	C1[C@H](CC(C[C@H]1N)O)N	3,5-DIAMINO-CYCLOHEXANOL	
VXWORWYFOFDZLY-JWXFUTCRSA-N	C[C@@]1(CO[C@@H]([C@@H]([C@H]1NC)O)O)O	5-METHYL-4-METHYLAMINO-TETRAHYDRO-PYRAN-2,3,5-TRIOL	
NTNZTEQNFHNYBC-UHFFFAOYSA-N	CCOC(=O)CN	ethyl glycinate	
KQFBUAIXCIGKAP-GORDUTHDSA-N	C\C=C(/CCC(=O)O)\N	(4E)-4-AMINOHEX-4-ENOIC ACID	
VFFTYSZNZJBRBG-HEOPWLPUSA-N	c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)C[S@+](CC[C@@H](C(=O)[O-])[NH3+])CC(=O)[O-])O)O)N	(2S)-4-[{[(2S,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-3,4-dihydroxytetrahydrofuran-2-yl]methyl}(carboxylatomethyl)sulfonio]-2-ammoniobutanoate	CARBOXY-S-ADENOSYLMETHIONINE
RCCNUBYROFOKAU-HXUWFJFHSA-N	CCCCCCCCOCC(CO[P@](=O)(O)OCCN)O[P@](=O)(CCCCCCC)O	1-O-OCTYL-2-HEPTYLPHOSPHONYL-SN-GLYCERO-3-PHOSPHOETHANOLAMINE	
VKVCLXDFOQQABP-BYPYZUCNSA-N	C(CS[C@@H](CC(=O)O)C(=O)O)NC(=N)N	(2-GUANIDINOETHYLMERCAPTO)SUCCINIC ACID	2-GUANIDINOETHYLTHIO)SUCCINIC ACID; GUANIDINOETHYL MERCAPTOSUCCINIC ACID; GEMSA
TZBJGXHYKVUXJN-UHFFFAOYSA-N	c1cc(ccc1C2=COc3cc(cc(c3C2=O)O)O)O	GENISTEIN	5,7-DIHYDROXY-3-(4-HYDROXYPHENYL)-4H-1-BENZOPYRAN-4-ONE; 4',5,7-TRIHYDROXYISOFLAVONE; PRUNETOL; GENISTEOL
SDUQYLNIPVEERB-QPPQHZFASA-N	C1=CN(C(=O)N=C1N)[C@H]2C([C@@H]([C@H](O2)CO)O)(F)F	GEMCITABINE	2',2'-DIFLUORODEOXYCYTIDINE
OKJUVEGXNINONS-UHFFFAOYSA-O	C[N+]1(CCCCC1)CCc2ccc(cc2)NC(=O)CCCC(=O)O	N-METHYL-N-(PARA-GLUTARAMIDOPHENYL-ETHYL)-PIPERIDINIUM ION	
YYMZSGIXLQPFAC-UHFFFAOYSA-N	c1ccc2c(c1)-c3ccccc3C2N4CCN(CC4)C(=O)c5ccc6c(c5)cc[nH]6	5-{[4-(9H-FLUOREN-9-YL)PIPERAZIN-1-YL]CARBONYL}-1H-INDOLE	GENZ-10850
HSOYJGBJQAKCNA-CAIKYXSQSA-N	C\C=C(/C)\CC\C=C(/C)\CC\C=C(/C)\CCC=C(C)C	GERAN-8-YL GERAN	
BRZYSWJRSDMWLG-DJWUNRQOSA-N	C[C@H]([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](C[C@H]([C@@H]([C@H]2O)O[C@@H]3[C@@H]([C@H]([C@@](CO3)(C)O)NC)O)N)N)N)O)O)O	GENETICIN	G418
REFMTLIXGKZVDF-VRGHQRLXSA-N	C[C@@H](C(=O)O)N1C(=O)[C@H]2[C@H]3CC[C@H](C3)[C@H]2C1=O	(2S)-2-[(3aR,4R,7S,7aS)-1,3-dioxooctahydro-2H-4,7-methanoisoindol-2-yl]propanoic acid	
WAVWUEFMWJZZFB-UHFFFAOYSA-N	CCC1=C(NN(C1=O)c2[nH]nnn2)C	4-ethyl-5-methyl-2-(1H-tetrazol-5-yl)-1,2-dihydro-3H-pyrazol-3-one	
SQGYWRZISBCKMW-JTQLQIEISA-N	CC(=O)c1ccc(cc1)N2C[C@H](CC2=O)C(=O)O	(3S)-1-(4-acetylphenyl)-5-oxopyrrolidine-3-carboxylic acid	
DTGVSZSMDOMAEB-UHFFFAOYSA-N	c1ccc(cc1)C(=O)c2cc(ccc2OCC(=O)Nc3ccccc3)Cl	2-[4-chloro-2-(phenylcarbonyl)phenoxy]-N-phenylacetamide	
LQEBEXMHBLQMDB-JGQUBWHWSA-N	C[C@H]1[C@H]([C@H]([C@@H]([C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)n3cnc4c3N=C(NC4=O)N)O)O)O)O)O	GUANOSINE-5'-DIPHOSPHATE-BETA-L-FUCOPYRANOSE	
YYWHXOYNXRQZKR-XUSYNCDOSA-N	c1nc2c(n1[C@H]3C[C@@H]([C@H](O3)CO[P@](=O)(O)O[P@](=O)([C@](F)(P(=O)(O)O)Cl)O)O)N=C(NC2=O)N	5'-O-[(S)-{[(S)-[(S)-chloro(fluoro)phosphonomethyl](hydroxy)phosphoryl]oxy}(hydroxy)phosphoryl]-2'-deoxyguanosine	
BLHFKUNEUAHYSE-KVQBGUIXSA-N	c1nc2c(n1[C@H]3C[C@@H]([C@H](O3)CO[P@@](=O)(O)O[P@](=O)(C(F)(F)P(=O)(O)O)O)O)N=C(NC2=O)N	2'-DEOXY-5'-O-[({[DIFLUORO(PHOSPHONO)METHYL](HYDROXY)PHOSPHORYL}OXY)(HYDROXY)PHOSPHORYL]GUANOSINE	
QWIZNVHXZXRPDR-GORMUSACSA-N	C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@H]2[C@@H]([C@H](O[C@]2(CO)O[C@@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)O)O)CO)O)O)O)O)O	ALPHA-D-GLUCOPYRANOSYL-(1->3)-ALPHA-D-FRUCTOFURANOSYL ALPHA-D-GALACTOPYRANOSIDE	O-ALPHA-D-GLUCOPYRANOSYL-(1 3)-ALPHA-D-FRUCTOFURANOSYL-(2 1)-ALPHA-D-GLUCOPYRANOSIDE
PVDLZOAYDIZEDJ-AVAJSQPUSA-N	c1nc2c(n1[C@H]3C[C@@H]([C@H](O3)CO[P@@](=O)(O)O[P@@](=O)([C@H](F)P(=O)(O)O)O)O)N=C(NC2=O)N	2'-DEOXY-5'-O-[(R)-{[(R)-[(R)-FLUORO(PHOSPHONO)METHYL](HYDROXY)PHOSPHORYL]OXY}(HYDROXY)PHOSPHORYL]GUANOSINE	
MKPYQNARCBWQRN-WGVJZOHMSA-N	C[C@](F)([P@](=O)(O)O[P@@](=O)(O)OC[C@@H]1[C@H](C[C@@H](O1)n2cnc3c2N=C(NC3=O)N)O)P(=O)(O)O	2'-deoxy-5'-O-[(S)-{[(S)-[(1R)-1-fluoro-1-phosphonoethyl](hydroxy)phosphoryl]oxy}(hydroxy)phosphoryl]guanosine	
XUBOMFCQGDBHNK-JTQLQIEISA-N	C[C@H]1CN(CCN1)c2c(cc3c(c2OC)N(C=C(C3=O)C(=O)O)C4CC4)F	1-cyclopropyl-6-fluoro-8-methoxy-7-[(3S)-3-methylpiperazin-1-yl]-4-oxo-1,4-dihydroquinoline-3-carboxylic acid	Gatifloxacin
LXEHNDWFCMGWAY-QZABAPFNSA-N	C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OP(=O)(O)O)F)O)O)O	2-DEOXY-2-FLUORO-ALPHA-D-GLUCOSE-1-PHOSPHATE	
FLTYDFYSVZBKOB-UHFFFAOYSA-N	CN1c2ccc(cc2C(=O)N(C1=O)Cc3ccc(cc3)C(=O)O)C#CCc4ccccc4	4-{[1-METHYL-2,4-DIOXO-6-(3-PHENYLPROP-1-YN-1-YL)-1,4-DIHYDROQUINAZOLIN-3(2H)-YL]METHYL}BENZOIC ACID	
QNZCBYKSOIHPEH-UHFFFAOYSA-N	COc1ccc(cc1)n2c3c(c(n2)C(=O)N)CCN(C3=O)c4ccc(cc4)N5CCCCC5=O	1-(4-METHOXYPHENYL)-7-OXO-6-[4-(2-OXOPIPERIDIN-1-YL)PHENYL]-4,5,6,7-TETRAHYDRO-1H-PYRAZOLO[3,4-C]PYRIDINE-3-CARBOXAMIDE	
VFLFYDXGZMGUAF-UHFFFAOYSA-N	C[N@](CCCCc1ccccc1)CCC(O)(P(=O)(O)O)P(=O)(O)O	{1-HYDROXY-3-[METHYL(4-PHENYLBUTYL)AMINO]PROPANE-1,1-DIYL}BIS(PHOSPHONIC ACID)	
HXPWPXJRIXYIRJ-MGNUMPGCSA-N	CCC[C@@H]([C@H](C(=O)NC1CC1)O)NC(=O)[C@@H]2C[C@@H]3CCCC[C@@H]3N2C(=O)[C@H](C(C)(C)C)NC(=O)[C@H](C4CCCCC4)NC(=O)C5C=C(C=N5)[N+](=O)[O-]	(2S,3AS,7AS)-1-[(2S)-2-{[(2S)-2-CYCLOHEXYL-2-({[(2R)-4-NITRO-2H-PYRROL-2-YL]CARBONYL}AMINO)ACETYL]AMINO}-3,3-DIMETHYLBUTANOYL]-N-{(1S)-1-[(1R)-2-(CYCLOPROPYLAMINO)-1-HYDROXY-2-OXOETHYL]BUTYL}OCTAHYDRO-1H-INDOLE-2-CARBOXAMIDE	
BILJSHVAAVZERY-UHFFFAOYSA-N	c1cc(ccc1c2c(c[nH]n2)c3ccncc3)F	4-[3-(4-FLUOROPHENYL)-1H-PYRAZOL-4-YL]PYRIDINE	
MXMXXUIOCREOTJ-HRFVKAFMSA-N	C[C@@H]([C@@H](O)P(=O)(O)O)O	[(1S,2S)-1,2-DIHYDROXYPROPYL]PHOSPHONIC ACID	
OHXHNRRSMKIHDJ-VFWNUGQXSA-N	C1[C@H]([C@@H]([C@@H](C=C1C(=O)O)OP(=O)(O)O)O)O[C@](C(F)F)(C(=O)O)OP(=O)(O)O	(3R,4S,5R)-5-[(1R)-1-CARBOXY-2,2-DIFLUORO-1-(PHOSPHONOOXY)ETHOXY]-4-HYDROXY-3-(PHOSPHONOOXY)CYCLOHEX-1-ENE-1-CARBOXYLIC ACID	
GBZVPDJOUXPMNB-HPMPJWHZSA-N	C[C@H](C(=O)NC[P@@](=O)(CCCCNCCCCN)OP(=O)(O)O)NC(=O)CC[C@H](C(=O)O)N	D-GAMMA-GLUTAMYL-N-{[(R)-{4-[(4-AMINOBUTYL)AMINO]BUTYL}(PHOSPHONOOXY)PHOSPHORYL]METHYL}-D-ALANINAMIDE	
FSBIGDSBMBYOPN-VKHMYHEASA-N	[H]/N=C(\N)/NOCC[C@@H](C(=O)O)N	L-CANAVANINE	L-2-AMINO-4-(GUANIDINOOXY)BUTYRIC ACID
IHZCIRSQSFPOLH-IRXDYDNUSA-N	c1ccc2c(c1)cccc2CSC[C@@H](C(=O)NCC(=O)O)NC(=O)CC[C@@H](C(=O)O)N	1-MENAPHTHYL GLUTATHIONE CONJUGATE	
OGKQOSUHVSQNSH-IQXSWRQFSA-N	CCCCCCCCC=CCCCCCCCCC(=O)OC(CO[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)COC(=O)CCCCCCCC=CCCCCCCCC	NONADEC-10-ENOIC ACID 2-[3,4-DIHYDROXY-6-HYDROXYMETHYL-5-(3,4,5-TRIHYDROXY-6-HYDROXYMETHYL-TETRAHYDRO-PYRAN-2-YLOXY)-TETRAHYDRO-PYRAN-2-YLOXY]-1-OCTADEC-9-ENOYLOXYMETHYL-ETHYL ESTER	GLUCOSYL-GALACTOSYL DIACYL-GLYCEROL
PPZSOILKWHVNNS-SJORKVTESA-N	COc1ccccc1O[C@H](CO)[C@H](c2ccc(c(c2)OC)O)O	(1S,2R)-1-(4-hydroxy-3-methoxyphenyl)-2-(2-methoxyphenoxy)propane-1,3-diol	
XKUKSGPZAADMRA-UHFFFAOYSA-N	C(C(=O)NCC(=O)NCC(=O)O)N	glycylglycylglycine	
QEUKZZGYDFTBEI-RRKCRQDMSA-N	c1nc2c(n1[C@H]3C[C@@H]([C@H](O3)CO[P@@](=O)(O)O[P@@](=O)(CP(=O)(O)O)O)O)N=C(NC2=O)N	2'-DEOXY-5'-O-(HYDROXY{[HYDROXY(PHOSPHONOMETHYL)PHOSPHORYL]OXY}PHOSPHORYL)GUANOSINE	
NUTSYDYCFJFYDE-UHFFFAOYSA-N	COc1ccc(cc1)c2c(c([nH]n2)N)c3cccc(c3)c4cccc(c4)N	4-(3'-amino[1,1'-biphenyl]-3-yl)-3-(4-methoxyphenyl)-1H-pyrazol-5-amine	
WHUUTDBJXJRKMK-VKHMYHEASA-N	C(CC(=O)O)[C@@H](C(=O)O)N	GAMMA-L-GLUTAMIC ACID	L-GLUTAMIC ACID
ZGTKZICAFACDSP-XNIJJKJLSA-N	CNc1ccccc1C(=O)O[C@@H]2[C@H](O[C@H]([C@@H]2O)n3cnc4c3N=C(NC4=O)N)CO[P@](=O)(O)O[P@](=O)(NP(=O)(O)O)O	3'-O-(N-methylanthraniloyl)-beta:gamma-imidoguanosine-5'-triphosphate	MANT-GMPPNP
DIRIFWIKLRTNMB-DYVFJYSZSA-N	c1cc2c(cc1CCN3C[C@@H]([C@H](CC3=O)c4cc(c(cc4F)F)F)N)OCO2	(4R,5R)-5-AMINO-1-[2-(1,3-BENZODIOXOL-5-YL)ETHYL]-4-(2,4,5-TRIFLUOROPHENYL)PIPERIDIN-2-ONE	
QJYNZEYHSMRWBK-CGKDMBANSA-N	c1c(cc(c(c1O)O)O)C(=O)OC[C@H]2[C@H]([C@@H]([C@@H]([C@@H](O2)OC(=O)c3cc(c(c(c3)O)O)O)OC(=O)c4cc(c(c(c4)O)O)O)OC(=O)c5cc(c(c(c5)O)O)O)OC(=O)c6cc(c(c(c6)O)O)O	BETA-1,2,3,4,6-PENTA-O-GALLOYL-D-GLUCOPYRANOSE	
BUSOKXFDTDWPOS-OGGZDJOISA-N	CC(=CCC/C(=C/CCC(=CCCC(=CCS[P@@](=O)(O)OP(=O)(O)O)C)C)/C)C	phosphonooxy-[(10E)-3,7,11,15-tetramethylhexadeca-2,6,10,14-tetraenyl]sulfanyl-phosphinic acid	
VVCYZYSLUSSELI-NVJOEFDOSA-N	Cc1cc2c(c(c3c(c2OC)[C@H](C[C@@H](C3=O)O)O[C@H]4C[C@@]([C@@H]([C@@H](O4)C)OC(=O)C)(C)O)O)c5c1[C@H]6[C@H]7[C@@](O5)([C@@]8(CO8)[C@@](O6)(O7)C(OC)OC)O[C@H]9C[C@H]([C@]([C@@H](O9)C)(C(=O)C)O)O	Trioxacarcin A	(1S,2R,3aS,4S,8S,10S,13aS)-13a-[(4-C-acetyl-2,6-dideoxy-alpha-L-xylo-hexopyranosyl)oxy]-2-(dimethoxymethyl)-10,12-dihydroxy-7-methoxy-5-methyl-11-oxo-3a,8,9,10,11,13a-hexahydro-4H-spiro[2,4-epoxyfuro[3,2-b]naphtho[2,3-h]chromene-1,2'-oxiran]-8-yl 4-O-acetyl-2,6-dideoxy-3-C-methyl-alpha-L-xylo-hexopyranoside
DGOQHVJXKUNDDW-MTXKAQRHSA-N	CC(C)(C)[C@@H](C(=O)N[C@H](Cc1ccc(cc1)c2ccccn2)C[C@@H]([C@H](Cc3ccccc3)NC(=O)[C@H](C(C)(C)C)N4C=CN(C4=O)Cc5cccc(n5)C(C)(C)O)O)NC(=O)OC	methyl [(1S)-1-{[(1R,3S,4S)-3-hydroxy-4-{[(2S)-2-(3-{[6-(1-hydroxy-1-methylethyl)pyridin-2-yl]methyl}-2-oxo-2,3-dihydro-1H-imidazol-1-yl)-3,3-dimethylbutanoyl]amino}-5-phenyl-1-(4-pyridin-2-ylbenzyl)pentyl]carbamoyl}-2,2-dimethylpropyl]carbamate	
GFEQPJLSPPMUEG-VYIXFUBHSA-N	CC(C)(C)[C@@H](C(=O)N[C@@H](Cc1ccc(cc1)c2ccccn2)C[C@@H]([C@H](Cc3ccccc3)NC(=O)[C@H](C(C)(C)C)NC(=O)OC)O)NC(=O)OC	methyl [(1S,4S,5S,7S,10S)-4-benzyl-1,10-di-tert-butyl-5-hydroxy-2,9,12-trioxo-7-(4-pyridin-2-ylbenzyl)-13-oxa-3,8,11-triazatetradec-1-yl]carbamate	
BTNNHZWTVQDFCK-YPINIOOUSA-N	Cc1cccc(n1)CN2C=CN(C2=O)[C@H](C(=O)N[C@@H](Cc3ccccc3)[C@H](C[C@@H](Cc4ccc(cc4)c5ccccn5)NC(=O)[C@H](C(C)(C)C)NC(=O)OC)O)C(C)(C)C	methyl [(1S)-1-{[(1R,3S,4S)-4-{[(2S)-3,3-dimethyl-2-{3-[(6-methylpyridin-2-yl)methyl]-2-oxo-2,3-dihydro-1H-imidazol-1-yl}butanoyl]amino}-3-hydroxy-5-phenyl-1-(4-pyridin-2-ylbenzyl)pentyl]carbamoyl}-2,2-dimethylpropyl]carbamate	
LLEOOSLUHRQCHZ-LMVHVUTASA-N	C[C@H](/C=C\C(F)(F)F)Oc1cc(ccc1C(=O)N)c2cc(cnc2N)c3cc(cs3)CN(C)C	4-(2-AMINO-5-{4-[(DIMETHYLAMINO)METHYL]THIOPHEN-2-YL}PYRIDIN-3-YL)-2-{[(1R,2Z)-4,4,4-TRIFLUORO-1-METHYLBUT-2-EN-1-YL]OXY}BENZAMIDE	
BOTWXJFMSRDLBQ-KQYNXXCUSA-N	c1nc(c2c(n1)n(cn2)[C@H]3[C@H]4[C@@H]([C@H](O3)CO[P@@](=O)(O)OS(=O)(=O)O)O[P@@](=O)(O4)O)N	(2S,3AR,4R,6R,6AR)-4-(6-AMINO-9H-PURIN-9-YL)-6-({[(R)-HYDROXY(SULFOOXY)PHOSPHORYL]OXY}METHYL)TETRAHYDROFURO[3,4-D][1,3,2]DIOXAPHOSPHOL-2-OL 2-OXIDE	
QGYIFQKZZSSUCR-OBXARNEKSA-N	c1nc2c(n1[C@H]3[C@@H](C[C@H](O3)CO[P@](=O)(O)O[P@](=O)(O)OP(=O)(O)O)O)N=C(NC2=O)N	3'-DEOXY-GUANOSINE-5'-TRIPHOSPHATE	
YWOSRVQDYDWMAB-JBXPSPKUSA-K	C1C([C@@H]([C@H]([N@@]1CC(C(CO)OS([O-])([O-])[O-])O)CO)O)O	1'-((1,4-DIDEOXY-1,4-IMINO-D-ARABINITOL)-4-N-AMMONIUM)-1'-DEOXY-L-ERYTHRITOL-3'-SULFATE INNER SALT	GHAVAMIOL
RSFXTHIRRXEJJD-NSHDSACASA-N	CCc1c(c2c(s1)N=C(NC2=O)N)Sc3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O	N-({4-[(2-amino-6-ethyl-4-oxo-3,4-dihydrothieno[2,3-d]pyrimidin-5-yl)sulfanyl]phenyl}carbonyl)-L-glutamic acid	
HZLAWYIBLZNRFZ-VXGBXAGGSA-N	C1C[C@@H](N(C1)C(=O)CCCCC(=O)N2CCC[C@@H]2C(=O)O)C(=O)O	(2R)-1-[6-[(2R)-2-carboxypyrrolidin-1-yl]-6-oxidanylidene-hexanoyl]pyrrolidine-2-carboxylic acid	
TZXVKBJPSZOBNV-CHWFTXMASA-N	c1cc(ccc1NC(=O)O/N=C\2/[C@@H]([C@H]([C@@H]([C@H](N2)CO)O)O)O)Cl	[[(3S,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)piperidin-2-ylidene]amino] N-(4-chlorophenyl)carbamate	
NSDYIDKTTPXCRH-UHFFFAOYSA-N	[H]/N=C(\N)/NCCCCCC(=O)O	6-carbamimidamidohexanoic acid	
RQJRDCFIIZZHMK-XNUWVNOVSA-N	CN(C)c1ccc(cc1)/C=C/C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](C[C@@H]3CCNC3=O)C=O	Nalpha-{(2E)-3-[4-(dimethylamino)phenyl]prop-2-enoyl}-N-{(2S)-1-oxo-3-[(3S)-2-oxopyrrolidin-3-yl]propan-2-yl}-L-phenylalaninamide	
XZCPGLYOPFIZBL-NSHDSACASA-N	Cc1c(c2c(s1)N=C(NC2=O)N)Sc3ccc(cc3)C(=O)N[C@@H](CCC(=O)O)C(=O)O	N-({4-[(2-amino-6-methyl-4-oxo-3,4-dihydrothieno[2,3-d]pyrimidin-5-yl)sulfanyl]phenyl}carbonyl)-L-glutamic acid	
JKMYXNKXJWIHOA-ACRUOGEOSA-N	c1ccc(cc1)C[C@@H](C(=O)N[C@@H](C[C@@H]2CCNC2=O)C=O)NC(=O)OCc3ccccc3	Nalpha-[(benzyloxy)carbonyl]-N-{(2S)-1-oxo-3-[(3S)-2-oxopyrrolidin-3-yl]propan-2-yl}-L-phenylalaninamide	
TZWJROGWIGFGSI-ULQDDVLXSA-N	CC(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](C[C@@H]2CCNC2=O)C=O	N-{(2S)-1-oxo-3-[(3S)-2-oxopyrrolidin-3-yl]propan-2-yl}-Nalpha-[(propan-2-yloxy)carbonyl]-L-phenylalaninamide	
WOKOUVAVTJVWHG-BZSNNMDCSA-N	CC(C)COC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](C[C@@H]2CCNC2=O)C=O	Nalpha-[(2-methylpropoxy)carbonyl]-N-{(2S)-1-oxo-3-[(3S)-2-oxopyrrolidin-3-yl]propan-2-yl}-L-phenylalaninamide	
FURNYGCGTCIRPM-GBMPTNJUSA-O	CO[C@@H](c1c[n+]2c([nH]1)[C@@H]([C@H]([C@@H]([C@H]2CO)O)O)O)O	METHOXYCARBONYL-SUBSTITUTED GLUCOIMIDAZOLE	
YBOGGQIIIVIQDH-SFKDOBOXSA-O	COC(=O)Cc1c[n+]2c([nH]1)[C@@H]([C@H]([C@@H]([C@H]2CO)O)O)O	METHYL ACETATE-SUBSTITUTED GLUCOIMIDAZOLE	
RYZHANTZYYFSGC-MVIOUDGNSA-O	c1c([nH]c2[n+]1[C@@H]([C@H]([C@@H]([C@H]2O)O)O)CO)C(=O)O	CARBOXYLATE-SUBSTITUTED GLUCOIMIDAZOLE	
FOWXVHLJDQDRHS-BUJSFMDZSA-O	c1c([nH]c2[n+]1[C@@H]([C@H]([C@@H]([C@H]2O)O)O)CO)CC(=O)O	METHYL ACETIC ACID-SUBSTITUTED GLUCOIMIDAZOLE	
JVSARVOIIXAOKH-GOSISDBHSA-N	c1ccc2cc(ccc2c1)C(=O)N[C@H](Cc3cccc(c3)F)C(=O)O	3-fluoro-N-(naphthalen-2-ylcarbonyl)-D-phenylalanine	
QPYJXFZUIJOGNX-PBXRRBTRSA-N	C1[C@@H]([C@@H]([C@@H](CN1)O)O)CO	D-galacto-isofagomine	
KADQEUOYNAPXRD-UHFFFAOYSA-N	COC(=O)Nc1[nH]c2ccc(cc2n1)Oc3ccc(cc3)NC(=O)Nc4cc(ccc4F)C(F)(F)F	METHYL (5-{4-[({[2-FLUORO-5-(TRIFLUOROMETHYL)PHENYL]AMINO}CARBONYL)AMINO]PHENOXY}-1H-BENZIMIDAZOL-2-YL)CARBAMATE	
JLWMMYZWEHHTFF-UHFFFAOYSA-N	[H]/N=C(\c1cccc(c1)Oc2c(c(c(c(n2)Oc3ccc(cc3C(=O)O)C(=O)NCC(C)C)F)N(C(C)C)C(C)C)F)/N	2-{[6-{3-[AMINO(IMINO)METHYL]PHENOXY}-4-(DIISOPROPYLAMINO)-3,5-DIFLUOROPYRIDIN-2-YL]OXY}-5-[(ISOBUTYLAMINO)CARBONYL]BENZOIC ACID	PD0297121
RZRDQZQPTISYKY-MVIOUDGNSA-O	c1c[n+]2c([nH]1)[C@@H]([C@H]([C@@H]([C@H]2CO)O)O)O	GLUCOIMIDAZOLE	(5S,6S,7R,8R)-5-(HYDROXYMETHYL)-1,5,6,7,8,8A-HEXAHYDROIMIDAZO[1,2-A]PYRIDINE-6,7,8-TRIOL
SHSORWZDEKFFLP-UHFFFAOYSA-N	CCCc1ccc(cc1C(F)(F)F)NC(=O)c2ccccc2NCC3=CNC(=O)C=C3	2-{[(6-OXO-1,6-DIHYDROPYRIDIN-3-YL)METHYL]AMINO}-N-[4-PROPYL-3-(TRIFLUOROMETHYL)PHENYL]BENZAMIDE	
OWOHLURDBZHNGG-YFKPBYRVSA-N	C1C[C@H]2C(=O)NCC(=O)N2C1	CYCLO-(GLYCINE-L-PROLINE) INHIBITOR	(8AR)-HEXAHYDROPYRROLO[1,2-A]PYRAZINE-1,4-DIONE
SCHAHXXLASZJCD-NVGCLXPQSA-N	c1cc(ccc1N(C(O)SC[C@@H](C(=O)NCC(=O)O)NC(=O)CC[C@@H](C(=O)O)N)O)I	S-(N-HYDROXY-N-IODOPHENYLCARBAMOYL)GLUTATHIONE	
ARZWATDYIYAUTA-UHFFFAOYSA-N	Cn1c2ccc3c(c2nc1N)cccn3	3-METHYL-3H-IMIDAZO[4,5-F]QUINOLIN-2-AMINE	2-AMINO-3-METHYLIMIDAZO[4,5-F]QUINOLINE
YILCGOCHVFQMTC-WVZVXSGGSA-N	c1c([nH]c(n1)N)[C@@H]([C@H](CN)Cl)O	GIRODAZOLE	
HIYFNBISGUASFH-VIFPVBQESA-N	CCOC(=O)[C@H](c1ccc(cc1C(=O)O)NC(=N)N)Cl	ETHYL-(2-CARBOXY-4-GUANIDINIUM-PHENYL)-CHLOROACETATE	
WQZGKKKJIJFFOK-KGJVWPDLSA-N	C([C@H]1[C@H]([C@H]([C@@H]([C@H](O1)O)O)O)O)O	BETA-L-GALACTOPYRANOSE	
XUFWVOPKBVHDTA-RGGAHWMASA-L	Cc1c2cc3[n+]4c(cc5c(c(c6n5[Ga+3]47n2c(c1CCC(=O)O)cc8[n+]7c(c6)C(=C8CCC(=O)O)C)C=C)C)C(=C3C)C=C	PROTOPORPHYRIN IX CONTAINING GA	
MHIKXQXNKSZIGX-UHFFFAOYSA-N	c1ccc(cc1)CCN2C(=O)CC(=O)NC2=O	1-(2-phenylethyl)pyrimidine-2,4,6(1H,3H,5H)-trione	
